SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 03-Apr-2024,111.0,109.5,111.0,109.5, 111.00,111.0,110.7,7107,7.87,10, 7107, 100.00
20MICRONS, EQ, 03-Apr-2024,152.65,152.8,155.8,152.55, 155.20,154.95,154.24,78590,121.22,3630, 29032, 36.94
21STCENMGM, BE, 03-Apr-2024,43.2,44.05,44.05,44.05, 44.05,44.05,44.05,412,0.18,6, -, -
360ONE, EQ, 03-Apr-2024,695.85,695.85,745.45,695.85, 719.00,721.35,721.94,609168,4397.82,34991, 219764, 36.08
3IINFOLTD, EQ, 03-Apr-2024,42.65,43.0,45.0,42.2, 44.95,44.7,44.12,2166568,955.98,8359, 690914, 31.89
3MINDIA, EQ, 03-Apr-2024,30277.65,30277.0,30561.9,30200.05, 30225.15,30269.1,30330.61,2567,778.59,1291, 1393, 54.27
3PLAND, BE, 03-Apr-2024,29.65,31.05,31.1,30.55, 31.10,31.1,30.98,9180,2.84,91, -, -
563GS2026, GS, 03-Apr-2024,99.57,99.65,99.65,99.65, 99.65,99.65,99.65,1,0.0,1, 1, 100.00
574GS2026, GS, 03-Apr-2024,98.7,98.7,101.18,98.7, 101.18,101.18,98.72,960,0.95,8, 959, 99.90
5PAISA, EQ, 03-Apr-2024,539.9,534.95,600.0,532.15, 597.05,592.3,579.39,851142,4931.43,45917, 116155, 13.65
63MOONS, EQ, 03-Apr-2024,420.65,441.65,441.65,441.65, 441.65,441.65,441.65,32834,145.01,285, 32834, 100.00
664GS2035, GS, 03-Apr-2024,96.05,97.8,97.8,97.5, 97.75,97.74,97.75,1809,1.77,9, 1809, 100.00
667GS2050, GS, 03-Apr-2024,96.72,95.5,96.0,95.5, 96.00,96.0,95.52,518,0.49,4, 518, 100.00
669GS2024, GS, 03-Apr-2024,101.29,101.2,103.72,101.2, 101.40,101.4,101.24,3625,3.67,7, 3625, 100.00
676GS2061, GS, 03-Apr-2024,95.35,95.35,95.35,93.95, 94.14,94.14,95.32,76,0.07,3, 75, 98.68
689GS2025, GS, 03-Apr-2024,100.59,100.75,100.75,100.75, 100.75,100.75,100.75,2,0.0,1, 2, 100.00
68GS2060, GS, 03-Apr-2024,98.0,98.0,98.0,98.0, 98.00,98.0,98.0,2,0.0,1, 2, 100.00
