SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 08-May-2024,112.0,112.0,112.0,112.0,112.0,112.0,112.0,1,0.0,1, 1, 100.00
20MICRONS, EQ, 08-May-2024,170.75,166.05,171.0,166.05,167.7,168.4,168.83,99458,167.92,3764, 43024, 43.26
21STCENMGM, BE, 08-May-2024,52.45,51.4,51.4,51.4,51.4,51.4,51.4,1617,0.83,12, -, -
360ONE, EQ, 08-May-2024,749.25,750.8,758.4,740.35,742.0,744.5,747.48,393318,2939.96,31757, 224369, 57.05
3IINFOLTD, EQ, 08-May-2024,37.2,37.1,39.0,36.95,38.5,38.2,37.97,672112,255.23,4266, 299648, 44.58
3MINDIA, EQ, 08-May-2024,29625.2,29689.0,29748.2,29001.35,29152.0,29124.2,29209.1,4658,1360.56,1688, 3276, 70.33
3PLAND, EQ, 08-May-2024,30.2,30.8,30.8,29.85,29.95,30.05,30.1,8164,2.46,150, 7317, 89.63
515GS2025, GS, 08-May-2024,99.53,100.0,100.0,100.0,100.0,100.0,100.0,1,0.0,1, 1, 100.00
574GS2026, GS, 08-May-2024,99.0,98.5,99.8,98.5,99.8,99.8,99.69,12,0.01,3, 11, 91.67
579GS2030, GS, 08-May-2024,95.3,95.3,95.3,95.3,95.3,95.3,95.3,100,0.1,1, 100, 100.00
5PAISA, EQ, 08-May-2024,523.65,518.95,525.95,510.0,519.95,516.95,517.63,43199,223.61,5892, 10597, 24.53
610GS2031, GS, 08-May-2024,93.46,98.0,98.0,98.0,98.0,98.0,98.0,1,0.0,1, 1, 100.00
618GS2024, GS, 08-May-2024,102.25,102.25,102.25,102.25,102.25,102.25,102.25,110,0.11,2, 110, 100.00
63MOONS, EQ, 08-May-2024,405.7,405.7,425.95,405.25,420.0,418.05,421.87,199267,840.65,3627, 91113, 45.72
654GS2032, GS, 08-May-2024,98.5,97.5,98.5,97.5,98.5,98.5,98.5,11002,10.84,6, 11001, 99.99
667GS2035, GS, 08-May-2024,98.8,98.64,98.64,98.63,98.64,98.64,98.64,4,0.0,3, 2, 50.00
669GS2024, GS, 08-May-2024,102.3,102.2,102.39,102.2,102.39,102.39,102.2,1220,1.25,6, 1220, 100.00
689GS2025, GS, 08-May-2024,102.04,104.59,104.59,101.15,101.15,101.15,102.62,35,0.04,4, 1, 2.86
68GS2060, GS, 08-May-2024,98.0,96.09,96.09,96.09,96.09,96.09,96.09,1,0.0,1, 1, 100.00
699GS2026, GS, 08-May-2024,101.0,99.8,99.8,99.8,99.8,99.8,99.8,300,0.3,1, 300, 100.00
699GS2051, GS, 08-May-2024,100.0,100.0,100.0,99.51,99.51,99.51,99.67,3,0.0,3, 3, 100.00
706GS2028, GS, 08-May-2024,100.32,100.15,101.5,100.15,100.99,100.99,100.76,77621,78.21,28, 68631, 88.42
710GS2029, GS, 08-May-2024,100.31,100.7,100.7,100.69,100.69,100.69,100.7,3020,3.04,3, 3020, 100.00
717GS2030, GS, 08-May-2024,100.16,100.2,101.0,100.17,100.23,100.23,100.22,5513,5.53,9, 5509, 99.93
718GS2033, GS, 08-May-2024,100.05,101.5,102.24,101.5,101.5,101.6,101.6,2101,2.13,4, 2101, 100.00
718GS2037, GS, 08-May-2024,102.24,102.0,102.2,102.0,102.11,102.09,102.09,5100,5.21,14, 5100, 100.00
71GS2034, GS, 08-May-2024,100.7,100.05,100.05,100.05,100.05,100.05,100.05,100,0.1,1, 100, 100.00
723GS2039, GS, 08-May-2024,100.95,100.55,100.56,100.55,100.56,100.56,100.56,200,0.2,2, 200, 100.00
725GS2063, GS, 08-May-2024,102.66,102.66,103.6,102.6,103.6,103.45,103.05,1289,1.33,13, 1289, 100.00
726GS2032, GS, 08-May-2024,101.9,102.0,102.0,101.81,101.83,101.83,101.86,6481,6.6,12, 6481, 100.00
732GS2030, GS, 08-May-2024,104.13,104.13,104.2,104.1,104.2,104.2,104.15,802,0.84,7, 702, 87.53
733GS2026, GS, 08-May-2024,100.85,100.79,100.79,100.55,100.72,100.75,100.77,68261,68.79,49, 68261, 100.00
734GS2064, GS, 08-May-2024,101.26,101.2,101.49,101.0,101.49,101.49,101.25,6981,7.07,13, 6981, 100.00
736GS2052, GS, 08-May-2024,102.0,102.15,102.99,102.15,102.3,102.3,102.27,25337,25.91,12, 24900, 98.28
737GS2028, GS, 08-May-2024,101.31,101.31,101.59,101.25,101.59,101.59,101.51,4272,4.34,14, 4272, 100.00
738GS2027, GS, 08-May-2024,103.49,103.3,103.65,103.3,103.55,103.54,103.54,35818,37.09,33, 35818, 100.00
73GS2053, GS, 08-May-2024,103.1,103.1,103.1,103.1,103.1,103.1,103.1,100,0.1,1, 100, 100.00
741GS2036, GS, 08-May-2024,104.21,104.5,104.5,103.75,104.27,104.27,103.87,1341,1.39,6, 1340, 99.93
746GS2073, GS, 08-May-2024,103.5,103.5,103.5,103.0,103.49,103.16,103.08,11690,12.05,24, 11690, 100.00
74GS2035, GS, 08-May-2024,102.0,102.0,102.0,100.6,100.6,100.6,100.6,1000,1.01,2, 1000, 100.00
74GS2062, GS, 08-May-2024,102.05,104.6,104.6,104.6,104.6,104.6,104.6,10,0.01,1, 10, 100.00
754GS2036, GS, 08-May-2024,106.43,106.43,106.46,106.17,106.18,106.2,106.28,451654,480.02,166, 412991, 91.44
759GS2026, GS, 08-May-2024,103.0,103.0,103.0,103.0,103.0,103.0,103.0,100,0.1,2, 100, 100.00
772GS2049, GS, 08-May-2024,108.65,108.85,108.85,108.85,108.85,108.85,108.85,305,0.33,3, 305, 100.00
795GS2032, GS, 08-May-2024,103.65,104.35,104.35,104.35,104.35,104.35,104.35,3000,3.13,2, 3000, 100.00
828GS2027, GS, 08-May-2024,107.0,103.16,105.0,103.16,105.0,105.0,104.08,1800,1.87,3, 900, 50.00
883GS2041, GS, 08-May-2024,120.0,120.0,120.0,120.0,120.0,120.0,120.0,431,0.52,1, 431, 100.00
92GS2030, GS, 08-May-2024,111.81,112.0,112.2,112.0,112.19,112.19,112.03,5262,5.89,5, 5262, 100.00
A2ZINFRA, BE, 08-May-2024,14.05,13.75,14.75,13.6,14.0,14.1,14.38,507001,72.93,494, -, -
AAATECH, BE, 08-May-2024,121.9,120.9,122.0,117.0,120.8,119.0,119.86,16880,20.23,282, -, -
AAKASH, EQ, 08-May-2024,10.4,10.4,10.9,10.25,10.85,10.75,10.73,442857,47.53,911, 296479, 66.95
AAREYDRUGS, BE, 08-May-2024,52.55,54.7,54.7,51.2,52.0,52.25,52.49,13701,7.19,74, -, -
AARON, EQ, 08-May-2024,259.15,259.15,261.45,256.0,257.25,257.5,258.19,3974,10.26,352, 2494, 62.76
AARTECH, BE, 08-May-2024,248.0,243.05,243.05,243.05,243.05,243.05,243.05,198,0.48,16, -, -
AARTIDRUGS, EQ, 08-May-2024,476.05,476.05,483.25,472.75,473.85,474.1,476.81,75685,360.88,7541, 35857, 47.38
AARTIIND, EQ, 08-May-2024,716.55,714.0,722.5,703.35,706.35,706.15,711.19,806959,5739.03,48698, 324033, 40.15
AARTIPHARM, EQ, 08-May-2024,513.4,513.45,514.15,493.6,507.45,504.75,504.21,121834,614.3,9606, 45264, 37.15
AARTISURF, EQ, 08-May-2024,662.5,662.5,684.6,657.15,678.75,677.15,674.59,60817,410.27,6818, 23200, 38.15
