SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 10-Aug-2023,130.25,135.25,135.25,135.25, 135.25,135.25,135.25,9,0.01,1, 9, 100.00
21STCENMGM, EQ, 10-Aug-2023,20.65,20.95,21.05,20.25, 20.70,20.4,20.42,2931,0.6,29, 2779, 94.81
360ONE, EQ, 10-Aug-2023,506.4,506.25,515.0,503.7, 505.60,510.15,510.09,330518,1685.95,12246, 252017, 76.25
3IINFOLTD, EQ, 10-Aug-2023,33.35,33.45,33.75,32.7, 33.10,33.0,33.13,699311,231.67,4318, 466129, 66.66
3MINDIA, EQ, 10-Aug-2023,26828.15,26990.0,28334.75,26650.25, 28225.00,28119.45,27643.05,17315,4786.39,6424, 3677, 21.24
3PLAND, BE, 10-Aug-2023,19.8,20.45,20.7,19.8, 19.95,20.1,20.05,7169,1.44,43, -, -
448GS2023, GS, 10-Aug-2023,101.0,101.0,101.0,99.95, 101.00,101.0,100.79,5,0.01,5, 3, 60.00
515GS2025, GS, 10-Aug-2023,100.0,97.0,97.0,97.0, 97.00,97.0,97.0,2,0.0,2, 2, 100.00
563GS2026, GS, 10-Aug-2023,98.2,98.2,98.2,98.2, 98.20,98.2,98.2,31,0.03,9, 31, 100.00
574GS2026, GS, 10-Aug-2023,97.5,97.4,97.4,97.4, 97.40,97.4,97.4,8,0.01,1, 8, 100.00
585GS2030, GS, 10-Aug-2023,92.0,93.85,93.85,93.85, 93.85,93.85,93.85,70,0.07,2, 70, 100.00
5PAISA, EQ, 10-Aug-2023,458.75,458.55,462.15,456.05, 462.00,459.35,459.08,37455,171.95,2982, 16972, 45.31
619GS2034, GS, 10-Aug-2023,94.3,94.65,94.65,94.65, 94.65,94.65,94.65,648,0.61,2, 648, 100.00
63MOONS, EQ, 10-Aug-2023,278.95,283.0,302.55,272.0, 273.25,273.45,286.92,937449,2689.77,20344, 331701, 35.38
667GS2035, GS, 10-Aug-2023,96.55,96.77,96.77,96.77, 96.77,96.77,96.77,5263,5.09,11, 5263, 100.00
667GS2050, GS, 10-Aug-2023,93.0,92.26,94.0,92.26, 94.00,94.0,93.13,2,0.0,2, 1, 50.00
669GS2024, GS, 10-Aug-2023,100.5,100.6,101.2,100.55, 100.55,100.55,100.59,806,0.81,7, 806, 100.00
689GS2025, GS, 10-Aug-2023,100.9,99.25,100.99,99.25, 100.00,100.0,100.08,3,0.0,3, 2, 66.67
68GS2060, GS, 10-Aug-2023,95.25,95.26,95.26,95.2, 95.25,95.24,95.25,6341,6.04,10, 6341, 100.00
695GS2061, GS, 10-Aug-2023,98.5,98.5,98.5,98.5, 98.50,98.5,98.5,1,0.0,1, 1, 100.00
699GS2026, GS, 10-Aug-2023,101.51,101.75,101.75,101.75, 101.75,101.75,101.75,700,0.71,2, 700, 100.00
699GS2051, GS, 10-Aug-2023,98.5,98.5,98.5,98.5, 98.50,98.5,98.5,2,0.0,2, 2, 100.00
706GS2028, GS, 10-Aug-2023,101.84,101.0,101.65,101.0, 101.65,101.65,101.16,401,0.41,3, 401, 100.00
710GS2029, GS, 10-Aug-2023,101.95,102.15,102.25,102.02, 102.20,102.2,102.17,23975,24.5,14, 23960, 99.94
717GS2028, GS, 10-Aug-2023,107.0,107.0,107.0,107.0, 107.00,107.0,107.0,1,0.0,1, 1, 100.00
717GS2030, GS, 10-Aug-2023,101.9,101.51,102.5,101.51, 102.50,102.49,102.25,2400,2.45,6, 2400, 100.00
718GS2037, GS, 10-Aug-2023,99.85,99.85,99.85,99.84, 99.84,99.84,99.85,2104,2.1,5, 2104, 100.00
719GS2060, GS, 10-Aug-2023,104.4,105.55,105.55,105.55, 105.55,105.55,105.55,400,0.42,2, 400, 100.00
725GS2063, GS, 10-Aug-2023,100.0,100.0,100.0,99.6, 99.60,99.6,99.97,26875,26.87,31, 26875, 100.00
726GS2032, GS, 10-Aug-2023,103.45,100.87,104.15,100.87, 104.15,104.14,104.11,5068,5.28,9, 5068, 100.00
726GS2033, GS, 10-Aug-2023,102.0,102.0,102.0,102.0, 102.00,102.0,102.0,30042,30.64,4, 30042, 100.00
727GS2026, GS, 10-Aug-2023,108.0,105.0,105.0,105.0, 105.00,105.0,105.0,400,0.42,1, 400, 100.00
736GS2052, GS, 10-Aug-2023,103.0,105.57,105.57,102.01, 102.01,102.47,105.05,12,0.01,3, 11, 91.67
738GS2027, GS, 10-Aug-2023,101.69,101.75,102.2,101.7, 102.20,101.96,101.84,29355,29.9,34, 29154, 99.32
73GS2053, GS, 10-Aug-2023,100.25,100.25,100.69,100.25, 100.69,100.69,100.34,250,0.25,2, 250, 100.00
741GS2036, GS, 10-Aug-2023,102.71,102.55,102.87,102.5, 102.50,102.5,102.65,36501,37.47,18, 36501, 100.00
74GS2035, GS, 10-Aug-2023,105.0,104.0,104.0,104.0, 104.00,104.0,104.0,1000,1.04,3, 1000, 100.00
74GS2062, GS, 10-Aug-2023,104.0,106.6,106.6,103.1, 104.39,104.39,103.12,10118,10.43,17, 10069, 99.52
754GS2036, GS, 10-Aug-2023,103.9,104.0,104.15,103.8, 104.13,104.11,103.97,642167,667.69,138, 519363, 80.88
795GS2032, GS, 10-Aug-2023,109.0,109.25,109.25,109.25, 109.25,109.25,109.25,15,0.02,2, 15, 100.00
824GS2027, GS, 10-Aug-2023,108.0,108.0,108.0,108.0, 108.00,108.0,108.0,1600,1.73,4, 1600, 100.00
897GS2030, GS, 10-Aug-2023,118.0,118.0,118.0,118.0, 118.00,118.0,118.0,466,0.55,4, 466, 100.00
