SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 15-Nov-2022,92.7,93.15,99.9,92.25, 98.05,98.1,97.92,510509,499.87,9777, 225801, 44.23
21STCENMGM, EQ, 15-Nov-2022,22.75,22.75,22.95,22.3, 22.30,22.3,22.56,13017,2.94,91, 10034, 77.08
3IINFOLTD, EQ, 15-Nov-2022,42.75,42.5,43.25,42.45, 42.75,42.75,42.8,411099,175.94,2803, 230061, 55.96
3MINDIA, EQ, 15-Nov-2022,24483.7,24650.0,24900.0,23844.15, 24100.00,24134.4,24496.55,6457,1581.74,3201, 2750, 42.59
3PLAND, EQ, 15-Nov-2022,17.0,17.0,17.3,16.7, 16.75,16.95,16.93,3789,0.64,76, 2949, 77.83
4THDIM, EQ, 15-Nov-2022,85.6,87.0,87.3,83.9, 84.50,84.5,84.68,1679,1.42,67, 1183, 70.46
5PAISA, EQ, 15-Nov-2022,314.5,319.0,319.0,310.3, 313.00,314.0,314.16,20470,64.31,1416, 9982, 48.76
63MOONS, EQ, 15-Nov-2022,153.75,153.0,163.95,152.65, 156.80,157.75,157.99,76221,120.42,1914, 33412, 43.84
664GS2035, GS, 15-Nov-2022,96.32,96.3,96.3,95.85, 95.85,95.88,96.26,3300,3.18,4, 3300, 100.00
667GS2035, GS, 15-Nov-2022,97.99,93.2,97.99,93.2, 97.00,97.0,97.13,1214,1.18,5, 1203, 99.09
667GS2050, GS, 15-Nov-2022,95.0,95.0,95.0,92.6, 92.60,92.6,94.92,63,0.06,4, 63, 100.00
669GS2024, GS, 15-Nov-2022,101.3,101.6,101.6,101.6, 101.60,101.6,101.6,100,0.1,1, 100, 100.00
676GS2061, GS, 15-Nov-2022,98.0,93.2,93.2,93.2, 93.20,93.2,93.2,5,0.0,1, 5, 100.00
699GS2051, GS, 15-Nov-2022,97.6,97.01,97.6,97.01, 97.60,97.6,97.01,3581,3.47,12, 3581, 100.00
710GS2029, GS, 15-Nov-2022,99.92,100.0,100.0,99.9, 100.00,99.99,100.0,1582,1.58,12, 961, 60.75
