SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 04-Oct-2022,95.55,97.1,98.3,95.65, 97.15,97.75,97.15,109702,106.58,2403, 51139, 46.62
21STCENMGM, EQ, 04-Oct-2022,22.85,22.55,23.25,22.4, 22.60,22.7,22.7,20026,4.55,122, 10678, 53.32
3IINFOLTD, EQ, 04-Oct-2022,43.35,43.95,44.55,43.5, 43.65,43.7,44.05,410614,180.86,3447, 196746, 47.92
3MINDIA, EQ, 04-Oct-2022,24295.3,24400.0,24960.8,24344.6, 24675.00,24792.5,24750.88,3383,837.32,2103, 1207, 35.68
3PLAND, EQ, 04-Oct-2022,16.8,17.15,17.45,16.5, 16.80,16.8,16.75,2264,0.38,44, 2006, 88.60
4THDIM, EQ, 04-Oct-2022,56.95,59.75,59.75,59.75, 59.75,59.75,59.75,552,0.33,2, 552, 100.00
563GS2026, GS, 04-Oct-2022,97.6,99.5,99.5,99.5, 99.50,99.5,99.5,10,0.01,1, 10, 100.00
574GS2026, GS, 04-Oct-2022,96.05,96.05,96.05,95.66, 95.66,95.66,96.04,610,0.59,2, 610, 100.00
5PAISA, EQ, 04-Oct-2022,335.2,339.85,356.0,338.8, 346.80,345.6,345.05,33334,115.02,1466, 16755, 50.26
63MOONS, EQ, 04-Oct-2022,163.35,166.0,174.5,163.45, 169.00,168.3,169.68,204160,346.42,4670, 80462, 39.41
667GS2035, GS, 04-Oct-2022,96.0,97.0,97.0,96.5, 96.50,96.9,96.9,5000,4.85,3, 5000, 100.00
667GS2050, GS, 04-Oct-2022,92.99,92.99,92.99,92.93, 92.93,92.93,92.93,56,0.05,3, 55, 98.21
676GS2061, GS, 04-Oct-2022,94.8,94.8,94.8,94.8, 94.80,94.8,94.8,1297,1.23,4, 1297, 100.00
695GS2061, GS, 04-Oct-2022,96.25,97.0,97.0,97.0, 97.00,97.0,97.0,2,0.0,2, 2, 100.00
699GS2051, GS, 04-Oct-2022,96.0,96.99,97.44,95.0, 97.44,95.95,95.26,9754,9.29,32, 7100, 72.79
710GS2029, GS, 04-Oct-2022,104.0,104.0,104.0,104.0, 104.00,104.0,104.0,219,0.23,3, 219, 100.00
726GS2032, GS, 04-Oct-2022,99.9,100.45,100.45,100.0, 100.44,100.34,100.32,2550,2.56,8, 2550, 100.00
738GS2027, GS, 04-Oct-2022,103.5,103.5,103.5,103.5, 103.50,103.5,103.5,100,0.1,1, 100, 100.00
74GS2062, GS, 04-Oct-2022,96.0,99.0,99.0,99.0, 99.00,99.0,99.0,4300,4.26,4, 4300, 100.00
754GS2036, GS, 04-Oct-2022,103.0,103.94,104.25,103.89, 104.25,104.25,104.05,1379,1.43,6, 1379, 100.00
757GS2033, GS, 04-Oct-2022,105.0,105.0,105.0,100.01, 105.00,105.0,103.34,3,0.0,3, 2, 66.67
82GS2025, GS, 04-Oct-2022,103.6,103.4,103.6,103.4, 103.60,103.6,103.5,2,0.0,2, 0, 0.00
A2ZINFRA, EQ, 04-Oct-2022,10.3,10.3,10.55,10.25, 10.45,10.45,10.4,281168,29.24,347, 233604, 83.08
AAATECH, SM, 04-Oct-2022,69.05,69.0,69.0,65.6, 65.60,65.6,66.47,22500,14.96,5, 18000, 80.00
AAKASH, EQ, 04-Oct-2022,13.65,14.1,14.3,13.95, 14.30,14.3,14.25,338764,48.26,465, 274203, 80.94
AAREYDRUGS, EQ, 04-Oct-2022,38.4,39.35,39.6,38.25, 38.40,38.45,38.79,22042,8.55,332, 14722, 66.79
AARON, BE, 04-Oct-2022,159.1,160.0,163.5,158.3, 163.00,162.8,161.97,3304,5.35,159, -, -
AARTIDRUGS, EQ, 04-Oct-2022,469.8,477.45,481.7,470.0, 476.90,477.45,476.86,183090,873.08,9470, 67320, 36.77
AARTIIND, EQ, 04-Oct-2022,738.6,747.85,775.0,745.1, 773.45,771.5,760.36,906196,6890.31,34890, 279222, 30.81
AARTISURF, EQ, 04-Oct-2022,758.6,766.15,782.0,757.25, 758.50,766.75,768.48,7768,59.7,923, 3313, 42.65
AARVEEDEN, EQ, 04-Oct-2022,25.6,25.15,26.2,25.15, 25.50,25.75,25.65,10866,2.79,110, 8508, 78.30
AARVI, EQ, 04-Oct-2022,151.8,154.85,156.2,150.15, 150.70,150.85,152.06,15232,23.16,464, 9723, 63.83
AAVAS, EQ, 04-Oct-2022,2230.4,2242.1,2252.5,2180.0, 2197.00,2196.05,2204.69,69565,1533.69,14919, 31211, 44.87
ABAN, EQ, 04-Oct-2022,50.35,51.1,51.9,50.5, 51.05,51.1,51.14,97445,49.83,1465, 57429, 58.93
ABB, EQ, 04-Oct-2022,2994.8,3059.45,3115.0,3040.0, 3079.85,3080.8,3077.69,313948,9662.34,36529, 166889, 53.16
ABBOTINDIA, EQ, 04-Oct-2022,18833.3,19025.0,19100.0,18838.95, 19050.00,18978.5,18982.67,17311,3286.09,3111, 12256, 70.80
ABCAPITAL, EQ, 04-Oct-2022,109.75,111.0,115.5,111.0, 115.00,115.2,114.03,3287128,3748.37,16447, 1008354, 30.68
ABCOTS, SM, 04-Oct-2022,41.95,42.5,42.5,42.5, 42.50,42.5,42.5,4000,1.7,1, 4000, 100.00
ABFRL, EQ, 04-Oct-2022,332.35,339.0,340.75,332.25, 334.70,333.5,335.21,2797214,9376.53,36595, 1327971, 47.47
ABINFRA, SM, 04-Oct-2022,16.05,16.85,16.85,16.85, 16.85,16.85,16.85,4000,0.67,1, 4000, 100.00
ABMINTLLTD, BE, 04-Oct-2022,74.75,76.9,76.9,74.25, 74.25,74.8,76.57,58,0.04,10, -, -
ABSLAMC, EQ, 04-Oct-2022,452.65,454.0,456.4,450.5, 450.95,451.15,452.19,33465,151.33,2044, 20990, 62.72
ABSLBANETF, EQ, 04-Oct-2022,38.11,39.48,39.48,38.31, 39.03,39.17,39.02,3755,1.47,118, 2718, 72.38
ABSLNN50ET, EQ, 04-Oct-2022,42.63,43.74,43.74,42.84, 43.37,43.38,43.43,2486,1.08,77, 1236, 49.72
ACC, EQ, 04-Oct-2022,2301.3,2355.0,2373.3,2288.05, 2360.00,2359.65,2345.52,714858,16767.13,35698, 151688, 21.22
ACCELYA, EQ, 04-Oct-2022,1137.8,1154.5,1154.5,1133.1, 1138.00,1141.65,1141.14,38188,435.78,4357, 22985, 60.19
ACCORD, SM, 04-Oct-2022,28.35,29.7,29.7,29.7, 29.70,29.7,29.7,2000,0.59,1, 2000, 100.00
ACCURACY, EQ, 04-Oct-2022,264.65,268.95,275.0,255.0, 261.90,262.2,268.69,94254,253.25,2269, 41036, 43.54
ACE, EQ, 04-Oct-2022,280.55,285.5,288.4,281.05, 287.10,286.15,284.36,247232,703.03,5881, 94872, 38.37
ACEINTEG, SM, 04-Oct-2022,37.0,38.85,38.85,38.85, 38.85,38.85,38.85,4500,1.75,1, 4500, 100.00
ACRYSIL, EQ, 04-Oct-2022,610.1,624.0,635.0,598.8, 609.85,608.2,617.57,153703,949.22,8161, 44359, 28.86
ADANIENT, EQ, 04-Oct-2022,3157.3,3230.0,3291.2,3125.0, 3229.00,3237.7,3229.86,5642467,182243.62,206194, 577924, 10.24
ADANIGREEN, EQ, 04-Oct-2022,2074.05,2154.0,2235.95,2037.5, 2120.00,2134.2,2128.19,3959850,84273.22,170015, 508139, 12.83
ADANIPORTS, EQ, 04-Oct-2022,784.4,804.0,826.3,790.1, 825.30,823.05,813.32,10445528,84955.49,150364, 931867, 8.92
ADANIPOWER, BE, 04-Oct-2022,354.85,360.0,368.0,337.15, 354.50,352.5,351.94,2779946,9783.63,60047, -, -
ADANITRANS, EQ, 04-Oct-2022,3123.65,3244.0,3350.0,3135.0, 3325.00,3318.6,3280.96,1426522,46803.57,87113, 234718, 16.45
ADFFOODS, EQ, 04-Oct-2022,712.9,719.95,745.0,710.95, 718.80,718.9,725.74,14333,104.02,1435, 4926, 34.37
ADL, BE, 04-Oct-2022,74.75,74.75,77.9,71.55, 74.50,74.4,74.27,1198,0.89,27, -, -
ADORWELD, EQ, 04-Oct-2022,873.2,895.95,909.5,885.95, 896.00,895.5,894.89,11233,100.52,1474, 5513, 49.08
ADROITINFO, EQ, 04-Oct-2022,16.55,17.15,17.15,15.8, 16.60,16.2,16.15,51671,8.34,302, 37105, 71.81
ADSL, EQ, 04-Oct-2022,102.9,104.1,105.5,102.95, 103.00,103.4,104.17,87402,91.05,1451, 57872, 66.21
ADVANIHOTR, EQ, 04-Oct-2022,85.8,87.75,89.0,85.4, 86.90,86.85,87.54,132885,116.32,1792, 68155, 51.29
ADVENZYMES, EQ, 04-Oct-2022,268.0,271.35,278.25,271.05, 277.85,276.55,275.19,120746,332.28,3590, 52772, 43.70
