SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 30-Jun-2022,69.35,69.25,70.65,68.1,68.9,68.6,69.62,42835,29.82,958, 22737, 53.08
21STCENMGM, EQ, 30-Jun-2022,25.55,25.05,25.8,25.05,25.25,25.2,25.18,3903,0.98,119, 3050, 78.15
3IINFOLTD, EQ, 30-Jun-2022,42.0,42.0,42.8,41.1,41.4,41.6,42.01,175083,73.55,2590, 106400, 60.77
3MINDIA, EQ, 30-Jun-2022,22438.45,22494.0,22800.0,21566.65,22200.0,21854.05,22021.68,5861,1290.69,3084, 1521, 25.95
3PLAND, EQ, 30-Jun-2022,14.25,14.25,14.75,13.85,14.55,14.55,14.45,5701,0.82,108, 4760, 83.49
5PAISA, EQ, 30-Jun-2022,300.65,302.0,308.0,287.6,289.55,294.15,299.71,15640,46.87,706, 9278, 59.32
63MOONS, EQ, 30-Jun-2022,168.35,169.95,171.9,165.35,166.25,167.55,167.96,26427,44.39,798, 17716, 67.04
667GS2035, GS, 30-Jun-2022,95.85,95.9,95.9,94.8,94.8,94.8,94.98,6,0.01,4, 6, 100.00
667GS2050, GS, 30-Jun-2022,90.2,94.7,94.7,91.0,94.5,94.49,93.37,6,0.01,4, 4, 66.67
695GS2061, GS, 30-Jun-2022,93.5,92.52,93.5,92.5,93.2,93.2,92.98,18126,16.85,15, 18126, 100.00
699GS2051, GS, 30-Jun-2022,93.74,93.8,93.8,93.11,93.5,93.13,93.72,12506,11.72,15, 12504, 99.98
716GS2050, GS, 30-Jun-2022,107.95,107.95,107.95,107.95,107.95,107.95,107.95,1,0.0,1, 1, 100.00
754GS2036, GS, 30-Jun-2022,101.0,99.75,100.5,99.75,100.5,100.5,100.49,5309,5.33,6, 5309, 100.00
A2ZINFRA, EQ, 30-Jun-2022,9.9,10.15,10.25,9.85,10.1,10.0,10.02,52320,5.24,274, 35296, 67.46
AAKASH, EQ, 30-Jun-2022,15.7,15.8,15.9,14.95,14.95,14.95,15.12,529653,80.06,819, 283939, 53.61
AAREYDRUGS, EQ, 30-Jun-2022,33.5,33.4,34.35,32.5,33.0,32.95,33.66,45077,15.17,407, 39610, 87.87
AARON, EQ, 30-Jun-2022,113.5,119.0,119.0,110.65,111.0,111.15,113.26,7449,8.44,385, 3363, 45.15
AARTIDRUGS, EQ, 30-Jun-2022,400.6,400.6,406.6,399.4,404.6,403.85,403.57,46103,186.06,3311, 12161, 26.38
AARTIIND, EQ, 30-Jun-2022,702.55,702.0,706.6,690.1,696.9,698.7,699.34,663090,4637.28,20902, 347697, 52.44
AARTISURF, EQ, 30-Jun-2022,628.6,628.9,636.0,627.05,633.0,632.0,631.91,5492,34.7,694, 3054, 55.61
AARVEEDEN, EQ, 30-Jun-2022,18.8,19.4,19.4,18.15,18.2,18.35,18.54,6188,1.15,83, 3243, 52.41
AARVI, EQ, 30-Jun-2022,89.75,89.95,90.55,88.3,88.85,89.45,89.52,2649,2.37,73, 1292, 48.77
AAVAS, EQ, 30-Jun-2022,2077.9,2054.0,2059.95,1980.1,2032.0,2015.45,2020.81,103838,2098.37,16333, 40719, 39.21
