SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 03-Apr-2020,24.55,25.0,25.55,23.2, 24.40,24.45,24.22,18990,4.6,340, 7501, 39.50
21STCENMGM, EQ, 03-Apr-2020,10.65,10.65,10.65,10.5, 10.50,10.5,10.5,499,0.05,6, 499, 100.00
3IINFOTECH, EQ, 03-Apr-2020,1.25,1.3,1.3,1.2, 1.30,1.3,1.28,2445739,31.24,885, 1499511, 61.31
3MINDIA, EQ, 03-Apr-2020,18469.55,18410.0,18650.0,17175.0, 17400.05,17490.1,17514.14,7588,1328.97,3561, 3359, 44.27
3PLAND, EQ, 03-Apr-2020,3.4,3.4,3.55,3.4, 3.55,3.55,3.55,1503,0.05,8, 1503, 100.00
5PAISA, EQ, 03-Apr-2020,113.55,115.0,128.0,113.6, 115.00,115.1,115.62,2711,3.13,132, 1749, 64.51
618GS2024, GS, 03-Apr-2020,100.0,100.0,100.0,100.0, 100.00,100.0,100.0,100,0.1,1, 100, 100.00
63MOONS, EQ, 03-Apr-2020,46.35,46.2,47.0,45.45, 46.45,46.15,46.18,31413,14.51,2071, 21503, 68.45
762GS2039, GS, 03-Apr-2020,104.0,103.0,103.0,103.0, 103.00,103.0,103.0,1,0.0,1, 1, 100.00
A2ZINFRA, EQ, 03-Apr-2020,3.1,3.1,3.2,3.05, 3.10,3.1,3.13,169080,5.29,210, 132043, 78.09
AARON, SM, 03-Apr-2020,40.25,40.25,40.25,40.25, 40.25,40.25,40.25,3300,1.33,1, 3300, 100.00
AARTIDRUGS, EQ, 03-Apr-2020,517.5,527.7,547.0,520.15, 542.70,540.75,536.78,25364,136.15,2068, 9166, 36.14
AARTIIND, EQ, 03-Apr-2020,795.8,801.1,804.0,770.75, 793.00,790.7,791.47,135885,1075.49,18657, 63462, 46.70
AARVEEDEN, EQ, 03-Apr-2020,7.65,8.15,8.15,7.4, 7.90,7.8,7.79,1750,0.14,61, 1622, 92.69
AAVAS, EQ, 03-Apr-2020,1192.0,1179.0,1180.0,1132.4, 1132.40,1132.4,1133.16,104654,1185.89,4176, 100299, 95.84
ABAN, EQ, 03-Apr-2020,14.05,14.35,14.75,14.05, 14.75,14.75,14.67,66242,9.72,532, 50146, 75.70
ABB, EQ, 03-Apr-2020,929.65,914.3,949.0,893.0, 935.00,934.15,921.22,40418,372.34,3299, 13782, 34.10
ABBOTINDIA, EQ, 03-Apr-2020,15613.6,15775.0,16000.0,15210.0, 15809.00,15810.5,15646.03,28827,4510.28,8802, 9081, 31.50
