SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 14-Oct-2020,27.05,27.1,27.5,26.9, 27.50,27.4,27.15,9034,2.45,124, 7066, 78.22
21STCENMGM, EQ, 14-Oct-2020,9.95,9.85,10.1,9.8, 9.80,9.8,9.81,8900,0.87,56, 8700, 97.75
3IINFOTECH, EQ, 14-Oct-2020,3.2,3.25,3.35,3.2, 3.25,3.25,3.29,7619487,250.31,1835, 3581417, 47.00
3MINDIA, EQ, 14-Oct-2020,19141.6,19380.0,19380.0,18601.2, 18900.00,19034.5,18935.46,3914,741.13,2383, 1134, 28.97
3PLAND, EQ, 14-Oct-2020,5.8,6.05,6.05,6.05, 6.05,6.05,6.05,3,0.0,1, 3, 100.00
5PAISA, BE, 14-Oct-2020,344.25,340.0,344.0,327.05, 340.00,339.65,336.71,7477,25.18,217, -, -
63MOONS, EQ, 14-Oct-2020,74.8,75.0,75.55,73.0, 73.65,73.4,74.0,31573,23.36,711, 21219, 67.21
716GS2050, GS, 14-Oct-2020,111.0,111.99,111.99,108.0, 108.90,108.9,108.53,477,0.52,16, 477, 100.00
719GS2060, GS, 14-Oct-2020,110.4,112.0,112.0,111.5, 111.50,111.5,111.5,276,0.31,6, 276, 100.00
757GS2033, GS, 14-Oct-2020,112.25,112.25,112.25,112.25, 112.25,112.25,112.25,400,0.45,2, 400, 100.00
763GS2059, GS, 14-Oct-2020,114.68,108.98,108.98,108.98, 108.98,108.98,108.98,1,0.0,1, 1, 100.00
813GS2045, GS, 14-Oct-2020,118.0,123.5,123.5,123.5, 123.50,123.5,123.5,3,0.0,1, 3, 100.00
8KMILES, BE, 14-Oct-2020,84.35,88.55,88.55,88.55, 88.55,88.55,88.55,11899,10.54,113, -, -
A2ZINFRA, EQ, 14-Oct-2020,3.9,3.95,4.0,3.85, 4.00,3.95,3.96,105743,4.18,123, 70188, 66.38
AAATECH, ST, 14-Oct-2020,43.6,42.35,44.75,42.15, 44.75,43.0,42.9,159000,68.21,33, 138000, 86.79
AAKASH, EQ, 14-Oct-2020,53.15,54.0,54.0,51.15, 54.00,52.7,52.5,52999,27.82,414, 30509, 57.57
AARON, SM, 14-Oct-2020,28.9,28.5,28.5,28.5, 28.50,28.5,28.5,6300,1.8,1, 6300, 100.00
AARTIDRUGS, EQ, 14-Oct-2020,799.2,800.0,840.0,799.5, 823.95,820.6,821.15,811094,6660.29,36385, 307641, 37.93
AARTIIND, EQ, 14-Oct-2020,990.2,990.0,994.7,968.0, 971.55,970.8,974.28,277346,2702.12,16454, 121214, 43.70
