SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 23-Jul-2020,30.55,30.4,31.65,30.0, 31.65,30.55,30.61,54835,16.78,461, 37005, 67.48
21STCENMGM, EQ, 23-Jul-2020,10.7,10.7,10.9,10.5, 10.85,10.85,10.71,702,0.08,16, 633, 90.17
3IINFOTECH, EQ, 23-Jul-2020,2.6,2.65,2.65,2.5, 2.50,2.5,2.52,6837194,172.2,2011, 4592741, 67.17
3MINDIA, EQ, 23-Jul-2020,21242.85,21242.85,21565.0,21200.0, 21417.05,21502.9,21464.84,1442,309.52,741, 710, 49.24
5PAISA, EQ, 23-Jul-2020,403.35,419.9,423.5,415.05, 423.50,423.5,422.41,9191,38.82,246, 8897, 96.80
63MOONS, BE, 23-Jul-2020,72.45,73.55,74.25,72.0, 72.50,72.2,72.76,21217,15.44,205, -, -
645GS2029, GS, 23-Jul-2020,102.0,101.0,101.0,101.0, 101.00,101.0,101.0,100,0.1,1, 100, 100.00
716GS2050, GS, 23-Jul-2020,111.75,111.0,111.75,109.0, 111.75,110.56,110.03,2405,2.65,12, 2405, 100.00
719GS2060, GS, 23-Jul-2020,112.7,112.5,112.5,112.5, 112.50,112.5,112.5,100,0.11,2, 100, 100.00
757GS2033, GS, 23-Jul-2020,116.0,112.5,114.0,112.5, 113.85,113.9,112.82,650,0.73,6, 650, 100.00
75GS2034, GS, 23-Jul-2020,116.69,110.89,110.89,110.87, 110.87,110.87,110.88,99,0.11,4, 99, 100.00
772GS2049, GS, 23-Jul-2020,115.01,117.5,118.0,115.0, 118.00,118.0,115.65,2479,2.87,13, 2479, 100.00
A2ZINFRA, EQ, 23-Jul-2020,4.5,4.7,4.7,4.7, 4.70,4.7,4.7,41259,1.94,55, 37779, 91.57
AAKASH, SM, 23-Jul-2020,33.5,32.75,35.15,32.75, 35.15,35.15,34.44,15000,5.17,4, 15000, 100.00
AARTIDRUGS, EQ, 23-Jul-2020,1471.45,1476.0,1499.9,1468.0, 1490.00,1481.8,1484.68,44322,658.04,2553, 25280, 57.04
AARTIIND, EQ, 23-Jul-2020,904.15,904.15,926.0,900.1, 925.10,921.75,917.67,370041,3395.76,14814, 198939, 53.76
AARTISURF, BE, 23-Jul-2020,352.1,334.5,334.5,334.5, 334.50,334.5,334.5,671,2.24,49, -, -
AARVEEDEN, BE, 23-Jul-2020,10.55,10.5,10.8,10.1, 10.30,10.3,10.35,4212,0.44,22, -, -
AARVI, EQ, 23-Jul-2020,32.95,34.5,34.5,31.4, 31.50,31.6,32.31,10784,3.48,101, 2855, 26.47
AAVAS, EQ, 23-Jul-2020,1285.1,1286.0,1345.0,1286.0, 1330.60,1333.45,1318.84,36787,485.16,6733, 23102, 62.80
ABAN, EQ, 23-Jul-2020,25.75,25.9,26.2,25.25, 25.40,25.45,25.7,52816,13.58,448, 33032, 62.54
ABB, EQ, 23-Jul-2020,925.65,930.0,945.0,925.0, 939.95,934.8,937.61,161417,1513.46,6655, 44858, 27.79
ABBOTINDIA, EQ, 23-Jul-2020,14937.45,14975.0,15622.5,14975.0, 15499.00,15528.85,15425.26,29176,4500.48,7163, 18303, 62.73
ABCAPITAL, EQ, 23-Jul-2020,59.2,59.0,60.2,58.5, 59.25,59.2,59.31,1429087,847.66,6377, 487043, 34.08
ABFRL, EQ, 23-Jul-2020,120.3,119.55,127.5,119.05, 126.60,126.45,125.49,4435615,5566.35,34748, 1421382, 32.04
ABSLBANETF, EQ, 23-Jul-2020,224.92,220.1,227.05,220.1, 221.15,221.15,222.12,47,0.1,8, 47, 100.00
ABSLNN50ET, EQ, 23-Jul-2020,269.89,272.99,272.99,261.81, 271.00,271.0,270.48,12,0.03,5, 10, 83.33
ACC, EQ, 23-Jul-2020,1372.3,1375.0,1387.6,1357.0, 1363.60,1360.1,1362.8,1388277,18919.47,24668, 762870, 54.95
ACCELYA, EQ, 23-Jul-2020,972.35,965.0,980.0,961.0, 976.00,970.8,969.02,61179,592.84,3090, 43002, 70.29
ACCURACY, SM, 23-Jul-2020,37.75,39.5,39.5,38.5, 38.50,38.5,39.0,3200,1.25,2, 3200, 100.00
ACE, EQ, 23-Jul-2020,58.45,58.8,60.4,58.7, 59.70,59.6,59.61,197800,117.92,1666, 63709, 32.21
ADANIENT, EQ, 23-Jul-2020,169.4,168.35,170.7,165.4, 170.20,169.95,168.9,2199271,3714.5,15090, 653690, 29.72
ADANIGAS, EQ, 23-Jul-2020,150.5,151.35,153.45,150.45, 150.70,150.85,151.62,888571,1347.27,7575, 301831, 33.97
ADANIGREEN, EQ, 23-Jul-2020,336.0,337.4,340.0,320.0, 320.30,320.3,325.58,832614,2710.79,23701, 445723, 53.53
ADANIPORTS, EQ, 23-Jul-2020,312.0,313.4,315.95,311.6, 314.00,313.9,314.08,2831417,8893.05,33682, 773268, 27.31
ADANIPOWER, EQ, 23-Jul-2020,35.05,35.1,35.4,35.05, 35.15,35.15,35.22,1820537,641.23,4895, 944560, 51.88
ADANITRANS, EQ, 23-Jul-2020,241.4,242.0,244.05,238.1, 238.20,239.55,240.08,164671,395.34,3520, 86077, 52.27
ADFFOODS, EQ, 23-Jul-2020,307.7,304.25,311.9,304.25, 311.00,310.0,309.09,32876,101.62,725, 20430, 62.14
ADHUNIKIND, BE, 23-Jul-2020,19.75,20.45,20.45,19.25, 20.10,19.65,19.75,14359,2.84,95, -, -
ADORWELD, EQ, 23-Jul-2020,257.1,257.75,260.0,255.2, 255.50,256.85,258.16,6504,16.79,430, 3469, 53.34
ADROITINFO, BE, 23-Jul-2020,9.5,9.05,9.45,9.05, 9.05,9.05,9.05,4729,0.43,14, -, -
ADSL, EQ, 23-Jul-2020,17.5,16.8,18.1,16.8, 18.10,17.9,17.81,39111,6.97,236, 22517, 57.57
ADVANIHOTR, EQ, 23-Jul-2020,41.9,43.1,43.1,42.1, 42.20,42.85,42.76,4143,1.77,107, 3274, 79.02
ADVENZYMES, EQ, 23-Jul-2020,162.7,162.8,165.15,162.8, 163.40,163.4,164.4,129621,213.09,1809, 90387, 69.73
AEGISCHEM, EQ, 23-Jul-2020,200.2,201.0,201.0,190.0, 191.50,191.45,194.99,207454,404.51,4590, 112316, 54.14
AFFLE, EQ, 23-Jul-2020,1762.05,1773.9,1795.0,1756.25, 1759.90,1762.2,1773.61,37425,663.77,3615, 24558, 65.62
AGARIND, EQ, 23-Jul-2020,83.3,83.3,84.65,82.0, 82.65,82.3,82.82,5679,4.7,203, 3521, 62.00
AGCNET, EQ, 23-Jul-2020,324.85,318.05,341.05,318.0, 341.05,340.35,334.93,18620,62.36,400, 13877, 74.53
AGRITECH, BE, 23-Jul-2020,29.95,30.0,30.45,29.0, 29.40,29.35,29.59,4120,1.22,65, -, -
AGROPHOS, EQ, 23-Jul-2020,10.95,11.45,11.45,10.45, 10.85,10.85,10.97,56634,6.21,211, 39049, 68.95
AHLEAST, EQ, 23-Jul-2020,142.75,146.85,146.85,138.15, 140.25,142.45,142.93,2942,4.2,189, 1069, 36.34
AHLUCONT, EQ, 23-Jul-2020,226.2,223.45,223.45,215.35, 222.00,219.65,219.16,76160,166.91,6857, 48586, 63.79
AHLWEST, EQ, 23-Jul-2020,252.15,244.95,257.75,244.95, 249.20,248.5,248.57,351,0.87,92, 215, 61.25
AIAENG, EQ, 23-Jul-2020,1684.7,1680.0,1714.35,1680.0, 1704.00,1699.95,1701.07,20258,344.6,2473, 10367, 51.17
AIONJSW, EQ, 23-Jul-2020,13.9,13.8,14.55,13.65, 14.35,14.25,14.26,55504,7.92,246, 36071, 64.99
AIRAN, BE, 23-Jul-2020,12.7,12.7,12.9,12.6, 12.80,12.7,12.7,8568,1.09,78, -, -
AISL, SM, 23-Jul-2020,18.35,17.6,17.65,17.6, 17.65,17.65,17.63,2400,0.42,2, 1200, 50.00
AJANTPHARM, EQ, 23-Jul-2020,1460.85,1466.0,1521.0,1460.0, 1513.50,1512.85,1501.78,379232,5695.24,18165, 122318, 32.25
AJMERA, EQ, 23-Jul-2020,78.7,79.55,80.8,77.95, 79.95,79.85,80.11,59992,48.06,865, 25347, 42.25
AJOONI, SM, 23-Jul-2020,13.9,14.0,14.55,14.0, 14.55,14.55,14.18,12000,1.7,3, 12000, 100.00
AKASH, BE, 23-Jul-2020,149.1,149.1,154.0,146.25, 153.00,151.1,150.81,13302,20.06,171, -, -
AKG, SM, 23-Jul-2020,37.7,38.5,38.5,38.5, 38.50,38.5,38.5,4000,1.54,1, 4000, 100.00
AKSHARCHEM, EQ, 23-Jul-2020,218.1,219.05,222.0,218.7, 220.25,219.7,220.28,18911,41.66,745, 10235, 54.12
AKSHOPTFBR, BE, 23-Jul-2020,5.4,5.65,5.65,5.5, 5.60,5.6,5.61,216121,12.12,492, -, -
AKZOINDIA, EQ, 23-Jul-2020,1850.35,1850.35,1864.95,1822.0, 1825.10,1830.0,1840.53,10834,199.4,2028, 5023, 46.36
ALANKIT, EQ, 23-Jul-2020,17.0,17.35,17.35,16.8, 17.00,16.9,17.02,89470,15.23,379, 63070, 70.49
ALBERTDAVD, EQ, 23-Jul-2020,395.3,395.55,399.0,395.0, 398.00,395.25,396.83,9815,38.95,589, 5991, 61.04
ALCHEM, EQ, 23-Jul-2020,4.95,5.15,5.15,4.95, 5.15,5.15,5.13,50698,2.6,309, 49966, 98.56
ALEMBICLTD, EQ, 23-Jul-2020,84.45,84.8,86.0,82.6, 83.00,82.95,84.1,875343,736.13,7832, 398241, 45.50
ALICON, EQ, 23-Jul-2020,261.7,257.05,265.0,257.0, 264.00,264.3,261.96,3201,8.39,166, 2246, 70.17
ALKALI, EQ, 23-Jul-2020,44.15,44.9,45.85,44.1, 44.30,44.4,44.64,15604,6.97,304, 8959, 57.41
ALKEM, EQ, 23-Jul-2020,2453.65,2468.75,2509.95,2442.0, 2492.00,2494.95,2488.51,128625,3200.85,6415, 85715, 66.64
ALKYLAMINE, EQ, 23-Jul-2020,2260.65,2274.4,2300.0,2261.05, 2289.75,2286.25,2282.85,17149,391.49,1969, 10298, 60.05
ALLCARGO, EQ, 23-Jul-2020,93.1,93.5,96.9,93.45, 96.30,96.05,95.16,161179,153.38,1600, 106066, 65.81
ALLSEC, EQ, 23-Jul-2020,192.7,194.6,197.9,192.65, 196.20,196.9,194.54,8778,17.08,445, 5563, 63.37
ALMONDZ, EQ, 23-Jul-2020,10.6,11.0,11.0,10.1, 10.95,10.85,10.77,6445,0.69,65, 3413, 52.96
ALOKINDS, EQ, 23-Jul-2020,27.4,26.05,26.05,26.05, 26.05,26.05,26.05,1576216,410.6,6813, 1576214, 100.00
ALPA, EQ, 23-Jul-2020,19.9,20.15,20.2,19.6, 19.65,19.75,19.76,22093,4.37,169, 12642, 57.22
ALPHAGEO, EQ, 23-Jul-2020,171.8,172.0,176.0,172.0, 175.80,174.45,174.12,10388,18.09,419, 5226, 50.31
ALPSINDUS, BE, 23-Jul-2020,1.2,1.25,1.25,1.25, 1.25,1.25,1.25,16415,0.21,31, -, -
AMARAJABAT, EQ, 23-Jul-2020,698.3,697.95,714.85,695.5, 713.20,712.65,707.04,585156,4137.26,13929, 74704, 12.77
AMBER, EQ, 23-Jul-2020,1505.5,1515.0,1530.0,1465.0, 1478.00,1482.55,1510.86,82410,1245.1,6792, 33918, 41.16
AMBIKCO, EQ, 23-Jul-2020,671.75,671.7,671.75,651.65, 659.00,657.95,660.51,6384,42.17,979, 3701, 57.97
AMBUJACEM, EQ, 23-Jul-2020,200.9,201.5,202.25,197.25, 198.80,197.95,198.91,3302917,6569.75,22643, 1308470, 39.62
AMDIND, EQ, 23-Jul-2020,14.2,14.15,14.2,13.8, 13.80,13.85,13.96,7659,1.07,53, 5446, 71.11
AMJLAND, EQ, 23-Jul-2020,19.45,19.35,19.7,19.35, 19.70,19.7,19.49,3409,0.66,36, 3007, 88.21
AMRUTANJAN, EQ, 23-Jul-2020,398.5,398.5,414.0,398.5, 405.10,404.4,408.21,162414,662.98,6565, 51292, 31.58
ANANTRAJ, EQ, 23-Jul-2020,21.95,21.95,22.3,21.6, 22.30,21.95,21.88,176170,38.54,1325, 53815, 30.55
ANDHRACEMT, BE, 23-Jul-2020,6.2,5.9,5.9,5.9, 5.90,5.9,5.9,124980,7.37,322, -, -
ANDHRAPAP, EQ, 23-Jul-2020,227.6,227.95,231.45,226.1, 227.10,228.85,228.18,81913,186.91,1694, 39302, 47.98
ANDHRSUGAR, EQ, 23-Jul-2020,308.3,306.0,315.0,301.1, 303.85,304.6,308.38,75095,231.58,2069, 34308, 45.69
ANIKINDS, EQ, 23-Jul-2020,15.0,14.4,15.35,14.25, 14.50,14.4,14.53,8928,1.3,83, 6916, 77.46
ANKITMETAL, BE, 23-Jul-2020,0.8,0.85,0.85,0.75, 0.75,0.8,0.8,35620,0.28,51, -, -
ANSALAPI, BE, 23-Jul-2020,4.05,4.0,4.25,4.0, 4.05,4.05,4.1,64666,2.65,92, -, -
ANSALHSG, BE, 23-Jul-2020,3.8,3.8,3.9,3.75, 3.75,3.75,3.8,14267,0.54,31, -, -
ANUP, EQ, 23-Jul-2020,466.9,466.65,468.05,459.05, 462.50,462.4,462.9,6850,31.71,479, 4896, 71.47
APARINDS, EQ, 23-Jul-2020,309.7,312.4,315.0,304.8, 307.90,305.9,307.65,23644,72.74,1236, 13255, 56.06
APCL, EQ, 23-Jul-2020,139.0,146.45,149.4,141.6, 145.00,144.1,145.2,21080,30.61,450, 14507, 68.82
APCOTEXIND, EQ, 23-Jul-2020,124.35,124.95,128.45,123.65, 126.30,126.25,126.66,34132,43.23,1059, 15121, 44.30
APEX, EQ, 23-Jul-2020,242.1,239.5,243.8,236.75, 237.10,237.55,239.63,114975,275.51,2934, 43980, 38.25
APLAPOLLO, EQ, 23-Jul-2020,1832.35,1831.0,1873.35,1811.6, 1850.00,1853.1,1838.68,44782,823.4,4665, 22625, 50.52
APLLTD, EQ, 23-Jul-2020,1000.15,1016.95,1028.85,951.0, 963.00,960.8,986.7,1648148,16262.3,80793, 827538, 50.21
APOLLO, EQ, 23-Jul-2020,114.3,114.95,124.45,114.2, 122.25,121.85,120.46,975719,1175.33,11452, 315709, 32.36
APOLLOHOSP, EQ, 23-Jul-2020,1481.15,1485.0,1535.0,1478.4, 1534.00,1531.3,1510.84,1015614,15344.29,49666, 387919, 38.20
APOLLOPIPE, EQ, 23-Jul-2020,313.25,312.05,318.0,312.05, 314.20,314.95,315.87,13828,43.68,685, 9174, 66.34
APOLLOTYRE, EQ, 23-Jul-2020,109.65,110.0,111.2,108.75, 109.50,109.45,109.78,4638994,5092.59,20227, 902664, 19.46
APOLSINHOT, EQ, 23-Jul-2020,479.1,479.1,513.95,475.0, 502.00,509.25,497.26,3090,15.37,238, 2602, 84.21
APTECHT, EQ, 23-Jul-2020,110.75,111.5,119.35,111.0, 116.50,117.95,116.55,1269920,1480.03,14591, 351299, 27.66
ARCHIDPLY, EQ, 23-Jul-2020,28.65,29.0,32.35,28.5, 31.90,31.9,30.76,778468,239.49,3054, 281344, 36.14
ARCHIES, EQ, 23-Jul-2020,12.0,11.85,12.4,11.8, 11.90,11.85,11.93,44905,5.36,233, 38075, 84.79
ARCOTECH, BE, 23-Jul-2020,2.65,2.6,2.65,2.55, 2.55,2.55,2.56,16452,0.42,48, -, -
ARENTERP, EQ, 23-Jul-2020,11.2,11.15,11.2,11.15, 11.20,11.2,11.15,4300,0.48,2, 4300, 100.00
ARIES, EQ, 23-Jul-2020,58.75,59.45,60.95,58.15, 59.70,59.35,59.03,28697,16.94,334, 18241, 63.56
ARIHANT, EQ, 23-Jul-2020,15.15,15.75,15.9,14.95, 15.65,15.55,15.71,3848,0.6,21, 2104, 54.68
ARIHANTSUP, BE, 23-Jul-2020,22.5,22.5,22.9,21.55, 22.00,22.0,21.57,172026,37.11,104, -, -
ARMANFIN, EQ, 23-Jul-2020,482.15,482.3,494.9,458.05, 475.05,472.1,470.57,22521,105.98,1472, 11073, 49.17
AROGRANITE, EQ, 23-Jul-2020,23.8,24.25,24.45,23.35, 23.90,23.75,23.72,3691,0.88,89, 1879, 50.91
ARROWGREEN, BE, 23-Jul-2020,42.7,44.25,44.75,41.6, 43.95,42.35,42.72,2862,1.22,45, -, -
ARSHIYA, BE, 23-Jul-2020,10.05,9.8,10.35,9.8, 10.10,10.1,10.1,4656,0.47,38, -, -
ARSSINFRA, EQ, 23-Jul-2020,13.3,13.25,13.95,13.25, 13.60,13.7,13.86,8151,1.13,53, 6856, 84.11
ARTEMISMED, EQ, 23-Jul-2020,174.65,179.7,179.7,172.15, 172.85,172.85,176.47,1689,2.98,25, 1237, 73.24
ARVIND, EQ, 23-Jul-2020,31.85,31.9,32.4,31.5, 31.65,31.6,31.83,651681,207.45,2597, 322901, 49.55
ARVINDFASN, EQ, 23-Jul-2020,130.2,136.7,136.7,136.7, 136.70,136.7,136.7,40214,54.97,403, 39208, 97.50
ARVSMART, EQ, 23-Jul-2020,79.3,79.3,84.6,79.0, 81.05,81.45,82.32,156528,128.85,2859, 38965, 24.89
ASAHIINDIA, EQ, 23-Jul-2020,173.75,175.45,177.2,174.0, 175.00,175.3,175.45,11590,20.34,356, 8350, 72.04
ASAHISONG, EQ, 23-Jul-2020,215.7,216.5,225.0,216.05, 219.00,218.75,219.97,78113,171.83,2433, 33095, 42.37
ASAL, BE, 23-Jul-2020,19.0,19.0,19.85,18.5, 19.85,19.55,19.45,2025,0.39,13, -, -
ASALCBR, EQ, 23-Jul-2020,234.05,234.5,254.45,230.0, 242.00,239.7,239.9,37587,90.17,1205, 19581, 52.10
ASHAPURMIN, EQ, 23-Jul-2020,41.1,41.15,42.15,40.65, 40.75,40.95,41.08,22790,9.36,212, 20776, 91.16
ASHIANA, EQ, 23-Jul-2020,62.35,61.5,64.6,61.4, 61.55,61.8,62.33,26798,16.7,457, 15516, 57.90
ASHIMASYN, BE, 23-Jul-2020,5.55,5.55,5.7,5.5, 5.55,5.5,5.54,10045,0.56,38, -, -
ASHOKA, EQ, 23-Jul-2020,56.85,56.85,57.2,56.0, 56.90,56.8,56.78,1060956,602.46,9261, 458406, 43.21
ASHOKLEY, EQ, 23-Jul-2020,51.65,51.55,52.55,51.0, 52.05,52.0,52.1,14462950,7535.39,36142, 2775629, 19.19
ASIANHOTNR, EQ, 23-Jul-2020,54.55,56.75,57.0,55.05, 56.65,56.15,56.02,13323,7.46,423, 4758, 35.71
ASIANPAINT, EQ, 23-Jul-2020,1695.75,1690.0,1740.0,1687.0, 1729.50,1727.8,1729.56,2375218,41080.84,69214, 671922, 28.29
ASIANTILES, EQ, 23-Jul-2020,235.0,237.0,241.9,235.0, 238.10,238.8,238.93,55236,131.98,1916, 27987, 50.67
ASPINWALL, EQ, 23-Jul-2020,119.05,117.2,127.45,117.2, 120.70,121.3,124.32,9645,11.99,326, 3891, 40.34
