SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 27-Oct-2020,27.65,27.9,28.2,27.1, 27.40,27.45,27.42,12199,3.34,207, 5708, 46.79
21STCENMGM, EQ, 27-Oct-2020,9.75,9.75,9.75,9.6, 9.65,9.65,9.62,1423,0.14,16, 1421, 99.86
3IINFOTECH, EQ, 27-Oct-2020,3.0,3.0,3.05,2.95, 3.05,3.0,2.99,2478774,74.22,4833, 1678001, 67.69
3MINDIA, EQ, 27-Oct-2020,18602.85,18525.0,18660.15,18400.0, 18549.00,18454.0,18457.6,4614,851.63,2231, 2476, 53.66
5PAISA, BE, 27-Oct-2020,347.6,342.2,346.25,336.0, 340.00,338.4,341.13,11698,39.91,239, -, -
63MOONS, EQ, 27-Oct-2020,74.05,74.2,75.5,73.35, 75.00,74.1,74.51,37656,28.06,559, 22575, 59.95
716GS2050, GS, 27-Oct-2020,111.0,111.45,111.45,110.0, 110.05,110.1,110.36,181,0.2,5, 181, 100.00
719GS2060, GS, 27-Oct-2020,112.89,111.0,111.0,111.0, 111.00,111.0,111.0,563,0.62,4, 563, 100.00
75GS2034, GS, 27-Oct-2020,110.0,104.53,104.53,104.53, 104.53,104.53,104.53,1,0.0,1, 1, 100.00
8KMILES, BE, 27-Oct-2020,96.8,98.4,101.6,92.0, 92.00,92.05,96.97,149314,144.79,1550, -, -
A2ZINFRA, EQ, 27-Oct-2020,3.95,3.9,3.95,3.8, 3.90,3.85,3.86,136254,5.26,131, 82905, 60.85
AAATECH, SM, 27-Oct-2020,43.25,42.7,43.1,42.5, 43.10,43.1,42.69,15000,6.4,5, 12000, 80.00
AAKASH, EQ, 27-Oct-2020,52.3,52.0,53.0,51.75, 52.00,52.1,52.15,46987,24.5,283, 24043, 51.17
AARON, SM, 27-Oct-2020,27.6,27.75,27.75,27.75, 27.75,27.75,27.75,6300,1.75,1, 6300, 100.00
AARTIDRUGS, EQ, 27-Oct-2020,712.8,698.5,698.5,677.2, 677.20,677.2,679.12,577406,3921.28,25150, 284636, 49.30
AARTIIND, EQ, 27-Oct-2020,983.55,980.0,1001.5,975.0, 999.95,994.55,993.53,161998,1609.5,10357, 76707, 47.35
AARTISURF, BE, 27-Oct-2020,563.0,563.0,563.0,541.15, 550.00,550.75,550.69,5300,29.19,275, -, -
AARVEEDEN, EQ, 27-Oct-2020,10.4,10.9,11.0,10.35, 10.35,10.6,10.45,1727,0.18,50, 1209, 70.01
AARVI, EQ, 27-Oct-2020,37.85,40.4,40.4,35.1, 39.95,37.2,37.19,816,0.3,8, 565, 69.24
AAVAS, EQ, 27-Oct-2020,1493.5,1488.5,1510.2,1480.0, 1482.00,1489.9,1491.55,25410,379.0,4067, 4544, 17.88
ABAN, EQ, 27-Oct-2020,22.95,23.0,23.4,22.75, 23.00,22.95,22.97,32532,7.47,255, 25240, 77.59
ABB, EQ, 27-Oct-2020,889.05,886.8,936.95,884.15, 925.00,929.55,909.26,239419,2176.95,8329, 169086, 70.62
ABBOTINDIA, EQ, 27-Oct-2020,15562.0,15560.0,15679.3,15510.0, 15559.80,15552.4,15573.04,10467,1630.03,2726, 8432, 80.56
ABCAPITAL, EQ, 27-Oct-2020,66.1,65.65,66.75,64.4, 65.20,65.2,65.59,2254103,1478.38,13401, 440135, 19.53
ABFRL, EQ, 27-Oct-2020,161.2,160.0,166.9,156.8, 165.10,165.2,163.46,5933369,9698.61,46549, 1223390, 20.62
ABFRLPP, E1, 27-Oct-2020,102.05,104.4,108.0,98.0, 105.95,106.45,105.03,151491,159.11,2088, 65501, 43.24
ABMINTLTD, BE, 27-Oct-2020,28.35,26.95,26.95,26.95, 26.95,26.95,26.95,279,0.08,11, -, -
ABSLBANETF, EQ, 27-Oct-2020,239.32,239.77,248.0,239.77, 247.57,247.51,242.79,275,0.67,15, 270, 98.18
ABSLNN50ET, EQ, 27-Oct-2020,277.03,283.03,283.03,283.03, 283.03,283.03,283.03,5,0.01,1, 5, 100.00
ABSLRIF6RG, MF, 27-Oct-2020,6.31,6.31,6.31,6.25, 6.25,6.25,6.27,2507,0.16,3, 2507, 100.00
ACC, EQ, 27-Oct-2020,1578.8,1579.8,1700.0,1579.8, 1679.95,1683.85,1655.22,3953879,65445.46,194319, 1263316, 31.95
ACCELYA, EQ, 27-Oct-2020,949.5,950.0,980.0,935.0, 954.05,962.35,959.74,6964,66.84,847, 2543, 36.52
ACE, EQ, 27-Oct-2020,69.5,69.6,70.55,68.3, 70.40,69.95,69.8,76193,53.18,906, 32943, 43.24
ADANIENT, EQ, 27-Oct-2020,307.4,308.0,315.35,303.0, 314.20,314.05,309.77,3550035,10996.96,29626, 437481, 12.32
ADANIGAS, EQ, 27-Oct-2020,193.65,192.5,198.4,192.5, 198.00,197.35,196.36,1208489,2373.0,13640, 493399, 40.83
