SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 11-Feb-2020,33.85,34.3,35.25,33.15, 34.00,34.05,34.16,29870,10.2,260, 22283, 74.60
21STCENMGM, EQ, 11-Feb-2020,13.5,13.45,13.45,13.25, 13.45,13.25,13.32,351,0.05,6, 351, 100.00
3IINFOTECH, EQ, 11-Feb-2020,2.2,2.2,2.3,2.15, 2.20,2.2,2.22,1332939,29.53,810, 695727, 52.19
3MINDIA, EQ, 11-Feb-2020,24662.45,24789.9,25200.0,22435.0, 23250.00,23099.05,23862.27,32169,7676.25,9261, 14106, 43.85
3PLAND, EQ, 11-Feb-2020,6.0,5.7,6.25,5.7, 5.70,5.7,5.91,2840,0.17,21, 2446, 86.13
587GS2022, GS, 11-Feb-2020,97.21,92.36,92.36,92.36, 92.36,92.36,92.36,6,0.01,3, 6, 100.00
5PAISA, EQ, 11-Feb-2020,185.05,186.5,191.95,183.0, 184.45,184.1,185.67,4210,7.82,215, 2671, 63.44
63MOONS, EQ, 11-Feb-2020,101.8,101.8,111.35,100.5, 103.00,103.6,106.14,396379,420.73,7852, 117438, 29.63
763GS2059, GS, 11-Feb-2020,96.01,100.05,100.05,100.05, 100.05,100.05,100.05,100,0.1,1, 100, 100.00
772GS2049, GS, 11-Feb-2020,95.25,100.01,100.01,100.01, 100.01,100.01,100.01,1900,1.9,3, 1900, 100.00
824GS2033, GS, 11-Feb-2020,101.0,101.0,101.0,101.0, 101.00,101.0,101.0,100,0.1,1, 100, 100.00
A2ZINFRA, EQ, 11-Feb-2020,6.45,6.45,6.55,5.85, 5.95,5.95,6.14,414170,25.45,658, 284807, 68.77
AARON, SM, 11-Feb-2020,48.5,49.5,49.5,49.5, 49.50,49.5,49.5,3300,1.63,1, 3300, 100.00
AARTIDRUGS, EQ, 11-Feb-2020,631.05,635.0,635.0,621.6, 625.00,622.65,627.11,8853,55.52,777, 5962, 67.34
AARTIIND, EQ, 11-Feb-2020,1016.45,1022.75,1032.55,1000.75, 1009.00,1009.3,1013.86,133322,1351.7,9190, 67371, 50.53
AARVEEDEN, EQ, 11-Feb-2020,13.85,13.4,14.9,13.4, 13.60,13.85,13.72,1334,0.18,49, 1112, 83.36
AAVAS, EQ, 11-Feb-2020,1815.6,1818.0,1899.0,1818.0, 1889.85,1884.2,1875.45,217196,4073.4,10817, 118761, 54.68
ABAN, EQ, 11-Feb-2020,26.35,26.0,26.75,23.75, 23.75,23.9,25.2,155107,39.09,944, 91223, 58.81
ABB, EQ, 11-Feb-2020,1341.95,1349.0,1365.0,1322.0, 1328.00,1334.2,1344.06,45537,612.04,3611, 14536, 31.92
ABBOTINDIA, EQ, 11-Feb-2020,14774.15,14890.6,15144.0,14200.0, 14498.85,14460.85,14716.57,24841,3655.74,5699, 14528, 58.48
ABCAPITAL, EQ, 11-Feb-2020,93.05,93.5,97.35,93.4, 94.40,94.4,95.62,4202181,4018.13,24874, 1313355, 31.25
ABFRL, EQ, 11-Feb-2020,259.0,261.6,275.7,260.5, 272.60,272.45,270.94,1566343,4243.81,28854, 724987, 46.29
ABSLBANETF, EQ, 11-Feb-2020,308.53,312.0,312.0,311.12, 311.12,311.12,311.67,8,0.02,2, 8, 100.00
ACC, EQ, 11-Feb-2020,1451.35,1461.0,1471.0,1436.65, 1440.00,1439.5,1449.87,844758,12247.87,35622, 269740, 31.93
ACCELYA, EQ, 11-Feb-2020,1042.35,1042.0,1043.5,1022.0, 1025.05,1028.45,1030.94,2141,22.07,216, 1765, 82.44
ACCORD, SM, 11-Feb-2020,18.0,17.6,17.6,17.6, 17.60,17.6,17.6,2000,0.35,1, 2000, 100.00
ACCURACY, SM, 11-Feb-2020,22.95,21.85,22.65,21.85, 22.65,22.65,22.36,75200,16.81,3, 75200, 100.00
ACE, EQ, 11-Feb-2020,81.85,82.65,83.1,79.6, 80.20,80.0,81.55,78847,64.3,973, 36961, 46.88
ADANIENT, EQ, 11-Feb-2020,244.5,245.2,248.6,243.65, 244.50,245.3,246.34,3533751,8705.12,23934, 493457, 13.96
ADANIGAS, EQ, 11-Feb-2020,171.15,172.2,172.5,169.0, 169.25,169.4,170.73,576489,984.24,4895, 348904, 60.52
ADANIGREEN, EQ, 11-Feb-2020,213.35,215.9,217.0,208.15, 211.00,211.25,212.86,1102243,2346.25,15173, 419112, 38.02
ADANIPORTS, EQ, 11-Feb-2020,368.25,370.5,378.4,369.05, 374.05,374.2,374.67,2836917,10629.21,38209, 1268390, 44.71
ADANIPOWER, EQ, 11-Feb-2020,59.9,59.8,61.0,59.5, 60.10,60.15,60.12,5724445,3441.78,17046, 1500235, 26.21
ADANITRANS, EQ, 11-Feb-2020,331.95,332.5,340.0,331.0, 338.00,337.35,335.97,168229,565.2,6123, 53410, 31.75
ADFFOODS, EQ, 11-Feb-2020,304.65,306.7,313.4,304.7, 305.75,305.85,308.66,52622,162.42,2206, 32652, 62.05
ADHUNIKIND, EQ, 11-Feb-2020,38.95,37.5,39.7,37.1, 38.80,38.2,38.53,152703,58.83,154, 78417, 51.35
ADLABS, BE, 11-Feb-2020,3.7,3.8,3.85,3.6, 3.80,3.75,3.79,30694,1.16,75, -, -
ADORWELD, EQ, 11-Feb-2020,338.85,329.05,343.8,325.1, 325.85,327.1,334.28,8005,26.76,585, 4276, 53.42
ADROITINFO, BE, 11-Feb-2020,5.9,5.65,6.15,5.65, 5.65,5.65,5.72,2479,0.14,12, -, -
ADSL, BE, 11-Feb-2020,23.8,23.1,23.9,23.0, 23.50,23.25,23.29,63614,14.81,116, -, -
ADVANIHOTR, EQ, 11-Feb-2020,57.25,60.1,61.0,58.0, 58.60,58.8,58.8,49792,29.28,817, 16231, 32.60
ADVENZYMES, EQ, 11-Feb-2020,177.25,177.25,179.95,173.0, 173.95,173.65,176.65,79814,140.99,1612, 48789, 61.13
AEGISCHEM, EQ, 11-Feb-2020,226.45,227.15,232.0,220.85, 226.45,226.75,225.68,379689,856.87,6666, 176309, 46.44
AFFLE, EQ, 11-Feb-2020,1671.55,1678.0,1793.75,1678.0, 1770.00,1753.7,1755.3,214114,3758.35,15799, 68605, 32.04
AGARIND, EQ, 11-Feb-2020,80.5,80.55,83.95,80.5, 81.50,82.6,82.26,5528,4.55,195, 4108, 74.31
AGCNET, EQ, 11-Feb-2020,278.05,291.95,291.95,291.95, 291.95,291.95,291.95,8091,23.62,64, 7823, 96.69
AGRITECH, EQ, 11-Feb-2020,43.7,43.6,44.85,42.45, 43.00,43.2,43.46,14645,6.37,152, 12965, 88.53
AGROPHOS, EQ, 11-Feb-2020,16.65,15.85,17.45,15.85, 15.85,15.85,15.93,954794,152.13,3042, 627679, 65.74
AHLEAST, EQ, 11-Feb-2020,187.95,187.0,198.0,185.0, 190.00,187.05,187.08,779,1.46,121, 536, 68.81
AHLUCONT, EQ, 11-Feb-2020,313.4,315.7,327.0,312.2, 318.20,323.5,318.08,40930,130.19,244, 40393, 98.69
AHLWEST, EQ, 11-Feb-2020,343.0,343.9,344.0,327.65, 328.00,331.3,340.38,1547,5.27,58, 1014, 65.55
AIAENG, EQ, 11-Feb-2020,1918.8,1928.3,1969.35,1870.55, 1879.00,1887.6,1898.8,25888,491.56,3327, 16851, 65.09
AIONJSW, EQ, 11-Feb-2020,13.6,13.5,13.7,13.3, 13.70,13.6,13.52,177693,24.02,197, 160739, 90.46
AIRAN, EQ, 11-Feb-2020,12.95,12.95,13.95,12.8, 13.50,13.5,13.52,26709,3.61,132, 21952, 82.19
AJANTPHARM, EQ, 11-Feb-2020,1395.4,1405.0,1424.0,1349.5, 1359.95,1381.2,1395.89,221258,3088.51,14634, 57099, 25.81
AJMERA, EQ, 11-Feb-2020,122.5,124.35,126.05,123.05, 123.05,123.85,124.46,21263,26.46,725, 8984, 42.25
AJOONI, SM, 11-Feb-2020,8.0,8.4,8.4,8.4, 8.40,8.4,8.4,8000,0.67,1, 8000, 100.00
AKASH, BE, 11-Feb-2020,95.5,96.0,96.0,91.0, 91.00,94.9,95.13,1700,1.62,11, -, -
AKG, SM, 11-Feb-2020,33.0,35.0,35.0,33.5, 33.50,33.5,33.75,24000,8.1,4, 24000, 100.00
AKSHARCHEM, EQ, 11-Feb-2020,271.8,272.0,289.0,272.0, 275.00,274.35,276.82,43507,120.44,1197, 21164, 48.65
AKSHOPTFBR, EQ, 11-Feb-2020,7.25,7.1,7.25,6.9, 6.90,6.9,6.93,297077,20.6,455, 205196, 69.07
AKZOINDIA, EQ, 11-Feb-2020,2111.95,2122.5,2177.45,2069.5, 2161.00,2171.0,2125.99,27851,592.11,5504, 17565, 63.07
ALANKIT, EQ, 11-Feb-2020,14.55,14.7,14.9,13.8, 14.30,14.5,14.49,141885,20.56,514, 44029, 31.03
ALBERTDAVD, EQ, 11-Feb-2020,507.55,509.95,535.0,506.4, 530.00,527.7,523.8,24860,130.22,1769, 15509, 62.39
ALBK, EQ, 11-Feb-2020,16.55,16.6,16.75,16.2, 16.25,16.3,16.5,816011,134.67,1960, 360370, 44.16
ALCHEM, BE, 11-Feb-2020,1.4,1.35,1.35,1.35, 1.35,1.35,1.35,60,0.0,2, -, -
ALEMBICLTD, EQ, 11-Feb-2020,53.5,53.85,55.1,53.5, 53.65,53.65,53.99,92980,50.2,4129, 49964, 53.74
ALICON, EQ, 11-Feb-2020,375.15,362.5,383.6,362.5, 373.65,371.6,374.65,2705,10.13,219, 2251, 83.22
ALKALI, EQ, 11-Feb-2020,46.95,48.8,49.25,46.1, 47.50,47.4,47.35,5888,2.79,164, 5109, 86.77
ALKEM, EQ, 11-Feb-2020,2585.2,2612.0,2655.0,2603.75, 2624.00,2635.2,2635.43,123493,3254.57,24755, 63372, 51.32
ALKYLAMINE, EQ, 11-Feb-2020,1539.65,1550.0,1579.95,1525.25, 1535.00,1534.8,1550.71,29337,454.93,4650, 15782, 53.80
ALLCARGO, EQ, 11-Feb-2020,112.5,112.6,113.25,110.4, 111.00,111.05,111.39,102968,114.69,952, 50126, 48.68
ALLSEC, EQ, 11-Feb-2020,272.75,282.0,282.0,261.2, 269.95,267.5,268.67,4289,11.52,204, 2914, 67.94
ALMONDZ, EQ, 11-Feb-2020,16.45,16.3,16.65,15.75, 16.50,16.5,16.16,4443,0.72,56, 4140, 93.18
ALPA, EQ, 11-Feb-2020,19.6,19.6,20.5,19.3, 19.60,19.6,19.8,21064,4.17,195, 15855, 75.27
ALPHAGEO, EQ, 11-Feb-2020,253.0,263.0,277.9,241.0, 250.00,250.8,259.73,203711,529.1,6768, 94960, 46.62
ALPSINDUS, BE, 11-Feb-2020,1.1,1.05,1.15,1.05, 1.10,1.1,1.11,18359,0.2,41, -, -
AMARAJABAT, EQ, 11-Feb-2020,776.7,777.0,781.9,758.0, 760.25,761.65,765.64,382943,2931.98,15286, 144421, 37.71
AMBER, EQ, 11-Feb-2020,1636.4,1658.95,1670.95,1601.0, 1612.00,1607.2,1628.75,46750,761.44,7077, 25959, 55.53
AMBIKCO, EQ, 11-Feb-2020,830.35,831.3,833.0,816.3, 824.00,820.5,822.97,5171,42.56,464, 4545, 87.89
AMBUJACEM, EQ, 11-Feb-2020,207.1,208.1,213.45,208.0, 211.25,212.0,211.63,4444457,9406.0,30814, 2575937, 57.96
AMDIND, EQ, 11-Feb-2020,16.5,16.5,16.9,15.55, 16.50,16.5,16.34,1421,0.23,33, 1094, 76.99
AMJLAND, EQ, 11-Feb-2020,21.3,21.45,21.45,20.75, 21.30,21.3,21.33,4728,1.01,25, 4264, 90.19
AMRUTANJAN, EQ, 11-Feb-2020,465.55,469.0,487.8,467.85, 480.00,479.9,480.6,45175,217.11,3731, 23474, 51.96
ANANTRAJ, EQ, 11-Feb-2020,33.65,33.5,34.25,33.3, 33.50,33.4,33.84,122720,41.53,1865, 69558, 56.68
ANDHRABANK, EQ, 11-Feb-2020,15.8,16.05,16.3,15.8, 15.80,15.8,16.0,503884,80.6,2198, 225698, 44.79
ANDHRACEMT, EQ, 11-Feb-2020,2.35,2.4,2.5,2.3, 2.30,2.35,2.36,38967,0.92,83, 35472, 91.03
ANDHRSUGAR, EQ, 11-Feb-2020,294.55,297.4,297.4,285.1, 285.50,286.7,290.44,50014,145.26,1675, 29169, 58.32
ANDPAPER, EQ, 11-Feb-2020,287.75,276.2,294.0,276.2, 282.60,283.25,284.0,5287,15.02,490, 3322, 62.83
ANIKINDS, BE, 11-Feb-2020,8.75,8.75,9.1,8.4, 8.90,8.9,8.76,2126,0.19,18, -, -
ANKITMETAL, BE, 11-Feb-2020,0.5,0.5,0.5,0.45, 0.50,0.45,0.46,24358,0.11,28, -, -
ANSALAPI, EQ, 11-Feb-2020,5.0,5.1,5.15,5.0, 5.00,5.0,5.05,24309,1.23,66, 18980, 78.08
ANSALHSG, BE, 11-Feb-2020,4.9,4.9,5.1,4.75, 5.00,5.0,4.91,10586,0.52,26, -, -
ANTGRAPHIC, BE, 11-Feb-2020,0.65,0.6,0.65,0.6, 0.65,0.65,0.6,44866,0.27,21, -, -
ANUP, EQ, 11-Feb-2020,598.55,610.0,610.0,575.25, 576.00,583.55,588.89,11057,65.11,719, 8817, 79.74
APARINDS, EQ, 11-Feb-2020,392.5,394.75,401.8,390.1, 391.95,391.55,396.33,13796,54.68,704, 6463, 46.85
APCL, EQ, 11-Feb-2020,158.35,158.15,165.0,158.0, 161.70,161.0,161.87,12748,20.64,312, 10685, 83.82
APCOTEXIND, EQ, 11-Feb-2020,163.45,164.85,165.0,156.4, 157.25,158.3,159.25,53821,85.71,1591, 31398, 58.34
APEX, EQ, 11-Feb-2020,367.0,367.5,373.95,351.0, 352.85,354.1,362.69,160610,582.52,4819, 59878, 37.28
APLAPOLLO, EQ, 11-Feb-2020,2074.65,2100.0,2114.0,2028.0, 2054.00,2042.6,2073.84,17470,362.3,2596, 9497, 54.36
APLLTD, EQ, 11-Feb-2020,643.0,640.15,654.0,640.15, 650.00,649.15,648.38,144075,934.16,6402, 73236, 50.83
APOLLO, EQ, 11-Feb-2020,79.6,80.8,84.75,80.0, 80.55,80.9,82.4,70780,58.32,1466, 28630, 40.45
APOLLOHOSP, EQ, 11-Feb-2020,1665.7,1670.5,1702.9,1669.0, 1701.95,1697.95,1688.5,606839,10246.48,29409, 207843, 34.25
APOLLOPIPE, EQ, 11-Feb-2020,506.7,514.8,524.95,441.0, 486.05,487.25,493.22,43896,216.51,3200, 19554, 44.55
APOLLOTYRE, EQ, 11-Feb-2020,162.1,163.2,164.5,160.75, 161.35,161.4,162.15,1568825,2543.81,12397, 411023, 26.20
APOLSINHOT, EQ, 11-Feb-2020,715.3,715.0,740.0,715.0, 715.10,721.6,725.24,1654,12.0,208, 1385, 83.74
APTECHT, EQ, 11-Feb-2020,152.85,153.9,156.55,148.65, 149.40,149.7,152.92,235238,359.72,5666, 67558, 28.72
ARCHIDPLY, EQ, 11-Feb-2020,31.15,30.65,31.8,30.05, 30.60,30.45,30.88,20741,6.4,227, 16703, 80.53
ARCHIES, EQ, 11-Feb-2020,17.5,18.5,18.55,17.7, 17.75,17.8,18.05,131278,23.69,618, 62198, 47.38
ARCOTECH, BE, 11-Feb-2020,1.65,1.6,1.65,1.6, 1.60,1.6,1.6,12535,0.2,29, -, -
ARENTERP, EQ, 11-Feb-2020,11.95,12.0,12.0,12.0, 12.00,12.0,12.0,1,0.0,1, 1, 100.00
ARIES, EQ, 11-Feb-2020,70.25,71.05,73.5,70.4, 72.00,71.85,71.69,40906,29.33,513, 26850, 65.64
ARIHANT, EQ, 11-Feb-2020,22.25,20.8,22.95,20.8, 20.80,20.95,21.19,1492,0.32,32, 1010, 67.69
ARIHANTSUP, EQ, 11-Feb-2020,27.2,26.15,28.55,26.15, 28.55,28.55,28.1,2001,0.56,141, 1483, 74.11
ARMANFIN, EQ, 11-Feb-2020,834.3,849.95,855.0,820.05, 833.70,839.85,841.08,5721,48.12,691, 3939, 68.85
AROGRANITE, EQ, 11-Feb-2020,35.4,35.75,37.75,35.35, 35.35,35.4,35.76,4411,1.58,61, 2264, 51.33
ARROWGREEN, EQ, 11-Feb-2020,60.45,60.9,61.9,57.5, 61.90,59.95,58.99,28283,16.69,450, 20367, 72.01
ARSHIYA, EQ, 11-Feb-2020,16.6,16.2,16.95,16.2, 16.75,16.45,16.69,5302,0.88,48, 4246, 80.08
ARSSINFRA, EQ, 11-Feb-2020,19.3,19.05,19.85,18.7, 19.00,18.95,19.37,33118,6.41,161, 26069, 78.72
ARTEMISMED, EQ, 11-Feb-2020,250.05,250.05,250.05,242.0, 245.00,245.0,247.15,417,1.03,30, 323, 77.46
ARVIND, EQ, 11-Feb-2020,39.45,39.6,39.85,38.0, 38.55,38.4,38.72,1395695,540.36,7082, 832556, 59.65
ARVINDFASN, EQ, 11-Feb-2020,355.15,364.0,385.0,351.0, 384.00,381.85,370.5,388423,1439.11,14722, 66146, 17.03
ARVSMART, EQ, 11-Feb-2020,88.45,90.45,90.45,85.55, 87.75,87.45,87.88,29585,26.0,846, 15150, 51.21
ASAHIINDIA, EQ, 11-Feb-2020,253.85,254.95,266.3,253.0, 262.20,263.2,262.18,107508,281.87,1420, 67244, 62.55
ASAHISONG, EQ, 11-Feb-2020,132.45,136.4,136.4,131.5, 132.00,131.95,132.59,7780,10.32,392, 5057, 65.00
ASAL, EQ, 11-Feb-2020,30.35,30.65,30.65,29.5, 29.55,29.65,29.85,15496,4.63,88, 13840, 89.31
ASCOM, SM, 11-Feb-2020,32.9,32.9,32.9,32.9, 32.90,32.9,32.9,4000,1.32,1, 4000, 100.00
ASHAPURMIN, EQ, 11-Feb-2020,34.0,34.8,35.7,34.05, 35.70,35.7,34.44,399645,137.65,570, 370963, 92.82
ASHIANA, EQ, 11-Feb-2020,102.3,102.95,104.1,101.15, 103.05,103.1,102.16,37813,38.63,455, 27435, 72.55
