SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 09-Dec-2020,36.25,36.6,37.0,35.25,36.0,36.0,36.17,137009,49.55,1049, 88245, 64.41
21STCENMGM, EQ, 09-Dec-2020,9.9,9.9,10.05,9.85,10.05,10.05,9.98,436,0.04,12, 436, 100.00
3IINFOTECH, EQ, 09-Dec-2020,4.1,4.3,4.3,4.3,4.3,4.3,4.3,656035,28.21,485, 656035, 100.00
3MINDIA, EQ, 09-Dec-2020,22776.95,22894.0,22894.0,22500.0,22505.1,22550.5,22653.26,2130,482.51,1071, 1193, 56.01
3PLAND, EQ, 09-Dec-2020,10.75,11.25,11.25,11.25,11.25,11.25,11.25,6051,0.68,20, 5940, 98.17
5PAISA, EQ, 09-Dec-2020,354.55,355.0,357.0,333.05,335.0,334.8,339.57,28148,95.58,1042, 21540, 76.52
63MOONS, BE, 09-Dec-2020,83.9,84.5,85.0,80.1,84.0,83.65,82.36,58764,48.4,700, -, -
716GS2050, GS, 09-Dec-2020,113.0,113.0,113.0,113.0,113.0,113.0,113.0,1,0.0,1, 1, 100.00
719GS2060, GS, 09-Dec-2020,113.0,115.99,115.99,115.99,115.99,115.99,115.99,5,0.01,1, 5, 100.00
772GS2055, GS, 09-Dec-2020,114.01,117.0,117.0,114.5,115.0,115.33,114.95,4080,4.69,10, 3980, 97.55
824GS2033, GS, 09-Dec-2020,108.5,108.5,108.5,108.5,108.5,108.5,108.5,900,0.98,1, 900, 100.00
8KMILES, BE, 09-Dec-2020,78.65,77.0,79.85,74.75,74.75,75.0,75.95,138184,104.95,1246, -, -
A2ZINFRA, EQ, 09-Dec-2020,4.9,5.0,5.0,4.8,4.85,4.8,4.85,347073,16.85,416, 288233, 83.05
AAATECH, SM, 09-Dec-2020,42.5,42.55,42.55,42.55,42.55,42.55,42.55,3000,1.28,1, 3000, 100.00
