SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 13-Aug-2020,33.95,34.0,34.3,32.25, 32.95,32.8,33.02,157695,52.07,1803, 92902, 58.91
21STCENMGM, EQ, 13-Aug-2020,10.45,10.45,10.65,10.45, 10.55,10.55,10.59,2373,0.25,33, 2301, 96.97
3IINFOTECH, EQ, 13-Aug-2020,2.65,2.75,2.75,2.7, 2.75,2.75,2.75,5351486,147.02,1616, 3123214, 58.36
3MINDIA, EQ, 13-Aug-2020,21376.05,21699.95,22000.0,21521.0, 21950.00,21888.55,21870.42,4930,1078.21,2666, 2072, 42.03
5PAISA, EQ, 13-Aug-2020,351.5,360.0,360.0,347.05, 352.00,350.4,352.31,11955,42.12,1072, 7147, 59.78
63MOONS, BE, 13-Aug-2020,81.9,82.0,82.5,78.05, 79.75,79.45,79.6,23171,18.44,304, -, -
A2ZINFRA, EQ, 13-Aug-2020,4.15,4.2,4.2,4.05, 4.10,4.1,4.12,356459,14.67,284, 279450, 78.40
AARON, SM, 13-Aug-2020,45.6,45.85,45.85,45.85, 45.85,45.85,45.85,13200,6.05,2, 13200, 100.00
AARTIDRUGS, EQ, 13-Aug-2020,2073.2,2075.0,2249.85,2073.2, 2146.00,2132.3,2168.99,244820,5310.12,25229, 81138, 33.14
AARTIIND, EQ, 13-Aug-2020,1014.15,997.0,1023.45,982.3, 996.60,1000.0,999.71,690950,6907.48,23624, 477811, 69.15
AARTISURF, BE, 13-Aug-2020,328.75,345.15,345.15,345.15, 345.15,345.15,345.15,261235,901.65,1065, -, -
AARVEEDEN, BE, 13-Aug-2020,9.9,9.5,10.2,9.5, 10.00,10.2,10.05,7468,0.75,35, -, -
AARVI, EQ, 13-Aug-2020,30.65,31.0,31.0,29.3, 30.75,30.75,30.44,3402,1.04,32, 2352, 69.14
AAVAS, EQ, 13-Aug-2020,1419.4,1440.0,1463.95,1381.8, 1430.00,1411.25,1426.83,20216,288.45,3417, 8807, 43.56
ABAN, EQ, 13-Aug-2020,27.35,28.0,28.7,28.0, 28.70,28.7,28.56,114934,32.82,576, 84922, 73.89
ABB, EQ, 13-Aug-2020,908.15,909.5,939.25,908.55, 938.45,932.4,923.87,220454,2036.7,7816, 93896, 42.59
ABBOTINDIA, EQ, 13-Aug-2020,16683.05,16800.0,16872.5,16600.0, 16700.00,16672.85,16713.42,9794,1636.91,4359, 4699, 47.98
ABCAPITAL, EQ, 13-Aug-2020,59.5,59.95,61.7,59.6, 60.70,60.7,60.65,2976363,1805.13,14403, 1123697, 37.75
ABFRL, EQ, 13-Aug-2020,118.6,120.4,132.8,119.6, 130.50,129.85,127.92,7822576,10006.36,69642, 2790750, 35.68
ABFRLPP, E1, 13-Aug-2020,64.5,64.95,72.5,64.95, 71.30,71.0,69.7,345388,240.73,1801, 225622, 65.32
ABINFRA, SM, 13-Aug-2020,9.45,9.5,9.5,9.5, 9.50,9.5,9.5,4000,0.38,1, 4000, 100.00
ABMINTLTD, BE, 13-Aug-2020,16.8,17.6,17.6,17.6, 17.60,17.6,17.6,1408,0.25,14, -, -
ABSLBANETF, EQ, 13-Aug-2020,218.44,225.42,225.42,217.51, 223.55,223.55,224.08,174,0.39,15, 141, 81.03
ABSLNN50ET, EQ, 13-Aug-2020,301.68,292.7,305.01,275.9, 281.05,281.41,280.79,1540,4.32,67, 619, 40.19
ACC, EQ, 13-Aug-2020,1406.9,1417.85,1427.95,1391.75, 1393.90,1394.55,1408.95,895953,12623.51,23578, 295444, 32.98
ACCELYA, EQ, 13-Aug-2020,1014.1,1013.0,1034.8,1012.05, 1023.00,1019.2,1020.61,8290,84.61,878, 4756, 57.37
ACCORD, SM, 13-Aug-2020,21.5,22.0,22.4,22.0, 22.40,22.4,22.03,52000,11.46,13, 52000, 100.00
ACCURACY, SM, 13-Aug-2020,39.7,39.95,39.95,39.95, 39.95,39.95,39.95,1600,0.64,1, 1600, 100.00
ACE, EQ, 13-Aug-2020,60.6,61.15,62.5,60.0, 61.50,61.5,61.33,367570,225.44,2646, 210658, 57.31
