SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 02-Dec-2021,58.45,58.5,58.95,58.0, 58.50,58.4,58.43,48957,28.6,812, 27580, 56.34
21STCENMGM, EQ, 02-Dec-2021,55.4,54.35,54.35,54.3, 54.30,54.3,54.31,2002,1.09,36, 2002, 100.00
3IINFOLTD, EQ, 02-Dec-2021,93.1,93.1,97.75,93.1, 97.75,97.75,95.81,1639681,1570.96,9414, 1065681, 64.99
3MINDIA, EQ, 02-Dec-2021,24745.3,24912.7,25134.6,24600.0, 25009.65,24985.55,24910.22,2116,527.1,1305, 1362, 64.37
3PLAND, EQ, 02-Dec-2021,12.9,13.45,13.45,12.65, 12.90,12.65,12.74,5880,0.75,64, 5381, 91.51
5PAISA, EQ, 02-Dec-2021,388.35,394.45,415.0,391.0, 406.00,405.9,404.41,26431,106.89,1806, 11884, 44.96
63MOONS, EQ, 02-Dec-2021,110.45,115.95,115.95,115.95, 115.95,115.95,115.95,67128,77.83,267, 62767, 93.50
676GS2061, GS, 02-Dec-2021,98.11,98.5,98.5,98.21, 98.21,98.21,98.24,450,0.44,2, 450, 100.00
769GS2043, GS, 02-Dec-2021,106.05,100.78,100.78,100.78, 100.78,100.78,100.78,60,0.06,1, 60, 100.00
772GS2055, GS, 02-Dec-2021,109.0,109.0,109.0,109.0, 109.00,109.0,109.0,1400,1.53,2, 1400, 100.00
795GS2032, GS, 02-Dec-2021,106.07,106.07,106.07,106.07, 106.07,106.07,106.07,100,0.11,1, 100, 100.00
A2ZINFRA, BE, 02-Dec-2021,5.65,5.7,5.75,5.4, 5.50,5.6,5.59,493339,27.59,664, -, -
AAKASH, EQ, 02-Dec-2021,221.7,222.1,226.85,219.75, 225.90,225.1,224.43,117367,263.41,1239, 32976, 28.10
AAREYDRUGS, EQ, 02-Dec-2021,33.85,34.85,37.1,34.15, 35.40,35.35,35.01,23038,8.06,384, 18153, 78.80
