SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 06-May-2021,38.2,38.8,40.1,37.65, 39.55,39.7,39.18,165283,64.76,1340, 115039, 69.60
21STCENMGM, EQ, 06-May-2021,12.25,12.45,12.45,12.05, 12.45,12.45,12.3,4891,0.6,57, 3323, 67.94
3IINFOTECH, EQ, 06-May-2021,7.65,7.8,7.9,7.4, 7.80,7.75,7.65,17249122,1319.49,8919, 9819969, 56.93
3MINDIA, EQ, 06-May-2021,24965.3,25200.0,25296.55,24687.0, 24770.25,24741.8,24933.3,1981,493.93,1225, 946, 47.75
3PLAND, EQ, 06-May-2021,10.2,10.85,12.2,10.5, 12.20,12.2,11.49,75422,8.67,484, 45285, 60.04
5PAISA, EQ, 06-May-2021,339.3,340.1,373.2,333.3, 366.95,368.95,364.71,290951,1061.12,5834, 92666, 31.85
63MOONS, BE, 06-May-2021,88.05,88.1,89.8,85.0, 86.90,86.55,86.42,42531,36.75,450, -, -
A2ZINFRA, EQ, 06-May-2021,4.0,4.1,4.1,4.0, 4.00,4.05,4.07,360870,14.68,402, 228437, 63.30
AAATECH, SM, 06-May-2021,42.4,42.4,42.4,42.4, 42.40,42.4,42.4,3000,1.27,1, 3000, 100.00
AAKASH, EQ, 06-May-2021,145.5,145.0,149.0,143.55, 147.50,147.55,145.71,34942,50.91,187, 9785, 28.00
AARON, EQ, 06-May-2021,52.1,54.0,54.0,51.4, 51.85,52.9,52.82,779,0.41,48, 534, 68.55
AARTIDRUGS, EQ, 06-May-2021,714.75,719.0,836.55,716.3, 785.10,793.65,798.51,8227736,65698.94,282584, 1346086, 16.36
AARTIIND, EQ, 06-May-2021,1715.7,1737.2,1795.0,1709.1, 1794.00,1786.0,1767.12,1636541,28919.7,83380, 317802, 19.42
AARTISURF, EQ, 06-May-2021,1492.0,1494.0,1569.0,1470.0, 1529.00,1541.45,1522.49,35159,535.29,3930, 21386, 60.83
AARVEEDEN, BE, 06-May-2021,20.5,19.7,21.5,19.7, 21.00,21.0,20.92,25576,5.35,93, -, -
AARVI, EQ, 06-May-2021,48.0,48.9,49.0,47.75, 48.50,48.0,48.3,10362,5.0,86, 8871, 85.61
AAVAS, EQ, 06-May-2021,2241.15,2241.15,2249.0,2202.05, 2208.00,2209.05,2219.95,32903,730.43,5829, 15743, 47.85
ABAN, EQ, 06-May-2021,32.05,31.9,33.65,31.9, 33.65,33.65,33.13,225214,74.62,1448, 188968, 83.91
ABB, EQ, 06-May-2021,1370.65,1374.7,1385.0,1374.15, 1380.75,1380.6,1379.38,27868,384.41,4340, 13804, 49.53
ABBOTINDIA, EQ, 06-May-2021,15403.45,15390.0,15525.0,15347.85, 15410.10,15422.75,15436.0,8847,1365.62,2625, 4889, 55.26
ABCAPITAL, EQ, 06-May-2021,114.25,114.7,118.5,113.65, 116.10,116.15,115.88,3411290,3952.87,21847, 638401, 18.71
ABFRL, EQ, 06-May-2021,172.95,174.8,177.0,172.1, 174.60,174.9,174.5,2261266,3945.81,17113, 892776, 39.48
ABFRLPP1, E1, 06-May-2021,140.4,144.0,144.0,139.05, 141.10,141.75,141.83,19316,27.4,977, 16860, 87.29
ABMINTLTD, EQ, 06-May-2021,51.85,50.0,53.95,50.0, 53.55,53.55,51.68,1100,0.57,43, 564, 51.27
ABSLBANETF, EQ, 06-May-2021,325.97,335.74,335.74,324.45, 326.91,326.24,325.66,513,1.67,29, 466, 90.84
ABSLNN50ET, EQ, 06-May-2021,354.65,360.0,363.0,360.0, 363.00,362.99,360.29,398,1.43,16, 369, 92.71
ABSLRIF6RG, MF, 06-May-2021,8.32,9.1,9.1,8.63, 8.63,8.63,8.66,16,0.0,3, 15, 93.75
ACC, EQ, 06-May-2021,1888.55,1895.0,1908.5,1877.2, 1894.00,1896.25,1892.76,292905,5543.99,12794, 40846, 13.95
ACCELYA, EQ, 06-May-2021,891.35,930.0,930.0,895.0, 910.00,902.55,912.46,7529,68.7,959, 2557, 33.96
ACCURACY, EQ, 06-May-2021,59.2,61.5,61.5,59.1, 61.40,60.85,60.72,24845,15.09,106, 22524, 90.66
